plant_id,genotype,source_row,r_per_hour,K_mm,prefix_observations
phyAB:row6,phyAB,6,0.08509397,9.560611,4
phyAB:row7,phyAB,7,0.08393029,9.579424,4
phyAB:row8,phyAB,8,0.08506419,9.560077,4
phyAB:row9,phyAB,9,0.0869559,9.53121,4
phyAB:row10,phyAB,10,0.08584652,9.548599,4
phyAB:row11,phyAB,11,0.08504621,9.562248,4
phyAB:row12,phyAB,12,0.08587529,9.549622,4
phyAB:row13,phyAB,13,0.085256845,9.556726,4
phyAB:row14,phyAB,14,0.08436716,9.571555,4
phyAB:row15,phyAB,15,0.08405002,9.57666,4
phyAB:row16,phyAB,16,0.08383636,9.580618,4
phyAB:row17,phyAB,17,0.08635542,9.53987,4
phyAB:row18,phyAB,18,0.08615473,9.5418825,4
phyAB:row19,phyAB,19,0.084928185,9.562092,4
phyAB:row20,phyAB,20,0.08510028,9.559785,4
phyAB:row21,phyAB,21,0.08477518,9.565885,4
phyAB:row22,phyAB,22,0.085475355,9.5549555,4
phyAB:row23,phyAB,23,0.08570366,9.549916,4
phyAB:row24,phyAB,24,0.08479364,9.56481,4
phyAB:row25,phyAB,25,0.08424105,9.574293,4
phyAB:row26,phyAB,26,0.084777966,9.565061,4
phyAB:row27,phyAB,27,0.08577271,9.548825,4
phyAB:row28,phyAB,28,0.08431539,9.569977,4
phyAB:row29,phyAB,29,0.08517917,9.559269,4
phyAB:row30,phyAB,30,0.08517816,9.557747,4
phyAB:row31,phyAB,31,0.08437482,9.570744,4
phyAB:row32,phyAB,32,0.0841564,9.5774765,4
phyAB:row33,phyAB,33,0.08470997,9.567681,4
phyAB:row34,phyAB,34,0.0828447,9.59537,3
phyAB:row35,phyAB,35,0.08398496,9.5789995,3
phyAB:row36,phyAB,36,0.084637925,9.567537,3
phyAB:row37,phyAB,37,0.08532095,9.492359,2
phyAB:row38,phyAB,38,0.083145745,9.525105,2
phyAB:row39,phyAB,39,0.08323812,9.502518,1
