protocol,dataset,additional_prefix_drop,model,label,split,n_seeds,prefix_missing_fraction,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,pooled_rmse_mean,pooled_rmse_sd,mean_target_mean,mean_target_sd,n_plants,n_observations
four_genotypes_20260915,hypocotyl,0.25,logistic_pinn,Logistic-PINN,train,3,0.3351063829787234,0.28438563209435785,0.018962595476735095,8.522464051685589,0.5347254793359102,0.4111461581450848,0.016038200151756256,3.3365191121782196,0.03658833305470823,141,375
four_genotypes_20260915,hypocotyl,0.25,logistic_pinn,Logistic-PINN,val,3,0.3351063829787234,0.5713931660991292,0.034680702391529435,10.503467633464679,0.6375078609394057,0.7846147775937644,0.04956133666074425,5.4400430985157335,0.0,116,116
four_genotypes_20260915,hypocotyl,0.25,logistic_pinn,Logistic-PINN,test,3,0.3351063829787234,1.3145837743354574,0.16440733071881825,18.275657167312005,2.2856299238357045,1.534924874492317,0.18834421847034905,7.193086203689206,0.0,120,232
four_genotypes_20260915,hypocotyl,0.25,latent_ode,Latent ODE,train,3,0.3351063829787234,0.34765270349833594,0.029851207096928324,10.413992387677132,0.7845798295076631,0.47047733936970954,0.03094894450944545,3.3365191121782196,0.03658833305470823,141,375
four_genotypes_20260915,hypocotyl,0.25,latent_ode,Latent ODE,val,3,0.3351063829787234,0.5370026566074498,0.03134142651476478,9.871294158569555,0.5761245995149554,0.7482217496279931,0.041821445302987655,5.4400430985157335,0.0,116,116
four_genotypes_20260915,hypocotyl,0.25,latent_ode,Latent ODE,test,3,0.3351063829787234,1.2940549890381983,0.10150443901617809,17.99026109786507,1.411138920650197,1.5147984457912107,0.10300064255109515,7.193086203689206,0.0,120,232
four_genotypes_20260915,hypocotyl,0.25,phytoode,PhytoODE,train,3,0.3351063829787234,0.3478793037423176,0.0517627963281224,10.418997471474166,1.4638857333691953,0.468580816845712,0.04348419546919404,3.3365191121782196,0.03658833305470823,141,375
four_genotypes_20260915,hypocotyl,0.25,phytoode,PhytoODE,val,3,0.3351063829787234,0.5279162478528318,0.04431086094140519,9.704265909159227,0.8145314318097046,0.7300086297817922,0.046770287358534314,5.4400430985157335,0.0,116,116
four_genotypes_20260915,hypocotyl,0.25,phytoode,PhytoODE,test,3,0.3351063829787234,1.2201839736299072,0.09225312592140358,16.96328862295709,1.2825249595102668,1.4188245631201297,0.09384351621463033,7.193086203689206,0.0,120,232
four_genotypes_20260915,hypocotyl,0.5,logistic,Logi-ODE,train,3,0.5567375886524824,0.16941454493401795,0.004534984637956203,5.025754957598237,0.08825089195536431,0.3548006213266055,0.008152252522699124,3.370605335083465,0.037450628194662536,141,250
four_genotypes_20260915,hypocotyl,0.5,logistic,Logi-ODE,val,3,0.5567375886524824,0.6629240471626828,0.06950882940242911,12.186007263164994,1.2777257140187361,0.8583687741374217,0.08148308270663346,5.440043099055089,3.9227635483782815e-09,116,116
four_genotypes_20260915,hypocotyl,0.5,logistic,Logi-ODE,test,3,0.5567375886524824,1.855221530076718,0.23434463932621924,25.791732180698755,3.257915064144103,2.0673419122170156,0.22906881334356144,7.193086207061,4.498023388944705e-09,120,232
four_genotypes_20260915,hypocotyl,0.5,rf,RF,train,3,0.5567375886524824,0.060292819417765355,0.005067248487528332,1.788599405653052,0.14609564283281157,0.10922793020208647,0.007983500965299291,3.370605335083465,0.037450628194662536,141,250
four_genotypes_20260915,hypocotyl,0.5,rf,RF,val,3,0.5567375886524824,1.594005232888689,0.07403248416089231,29.30133463753151,1.3608804660279885,2.356369404136488,0.10008764780576246,5.440043099055089,3.9227635483782815e-09,116,116
four_genotypes_20260915,hypocotyl,0.5,rf,RF,test,3,0.5567375886524824,3.3570924803717648,0.05302182610916529,46.67110032780807,0.737122061164974,3.9261721043736535,0.07330559675565826,7.193086207061,4.498023388944705e-09,120,232
four_genotypes_20260915,hypocotyl,0.5,lstm,LSTM-NN,train,3,0.5567375886524824,0.2520734467250785,0.019611535549897877,7.481662411731725,0.6360043936805438,0.33343751122677867,0.01348928993365865,3.370605335083465,0.037450628194662536,141,250
four_genotypes_20260915,hypocotyl,0.5,lstm,LSTM-NN,val,3,0.5567375886524824,1.2029151401602416,0.11593947106522504,22.112235477670893,2.1312233896802626,1.6634772163956988,0.1923523659250138,5.440043099055089,3.9227635483782815e-09,116,116
four_genotypes_20260915,hypocotyl,0.5,lstm,LSTM-NN,test,3,0.5567375886524824,2.5715881163893393,0.2650253363615704,35.750831318618175,3.684445454600368,2.9849863190023984,0.3405818565702967,7.193086207061,4.498023388944705e-09,120,232
four_genotypes_20260915,hypocotyl,0.5,logistic_pinn,Logistic-PINN,train,3,0.5567375886524824,0.21883151379577193,0.018015358185325778,6.490819182192321,0.5039204703832992,0.3763811383599311,0.03981230815109507,3.370605335083465,0.037450628194662536,141,250
four_genotypes_20260915,hypocotyl,0.5,logistic_pinn,Logistic-PINN,val,3,0.5567375886524824,0.7123667383163569,0.06172197187509092,13.094873061798049,1.1345860865998076,0.937418879513483,0.054603249857014015,5.440043099055089,3.9227635483782815e-09,116,116
four_genotypes_20260915,hypocotyl,0.5,logistic_pinn,Logistic-PINN,test,3,0.5567375886524824,1.2945531635068903,0.04169970609677609,17.99718682993682,0.5797192698697098,1.501846362963616,0.05473144642432665,7.193086207061,4.498023388944705e-09,120,232
four_genotypes_20260915,hypocotyl,0.5,latent_ode,Latent ODE,train,3,0.5567375886524824,0.2850350997639647,0.031130404733083,8.450525388729108,0.8296594104801864,0.4168430567253907,0.04337067537436145,3.370605335083465,0.037450628194662536,141,250
four_genotypes_20260915,hypocotyl,0.5,latent_ode,Latent ODE,val,3,0.5567375886524824,0.5475440062515267,0.03984019653244708,10.065067432061499,0.732350752424076,0.7753385866663577,0.0429903911478171,5.440043099055089,3.9227635483782815e-09,116,116
four_genotypes_20260915,hypocotyl,0.5,latent_ode,Latent ODE,test,3,0.5567375886524824,1.3324988191754055,0.24613197139959553,18.524716384730397,3.4217853690349176,1.553734543273313,0.28112676027380173,7.193086207061,4.498023388944705e-09,120,232
four_genotypes_20260915,hypocotyl,0.5,phytoode,PhytoODE,train,3,0.5567375886524824,0.2916926435687193,0.011011329624267877,8.656394201872454,0.4001659508666299,0.4297210732637368,0.009105276407158344,3.370605335083465,0.037450628194662536,141,250
four_genotypes_20260915,hypocotyl,0.5,phytoode,PhytoODE,val,3,0.5567375886524824,0.5546296158077988,0.030866609814117374,10.195316575512125,0.5673964129899431,0.7579865092662722,0.0620424381738605,5.440043099055089,3.9227635483782815e-09,116,116
four_genotypes_20260915,hypocotyl,0.5,phytoode,PhytoODE,test,3,0.5567375886524824,1.0273509947645165,0.10278322197834953,14.282478551612863,1.428916856660945,1.2030517809565706,0.13631378574292174,7.193086207061,4.498023388944705e-09,120,232
