plant_id,genotype,source_row,r,r_light,r_dark,a,K_mm
MLB:row29,MLB,29,0.032430712,0.04456928,0.020292144,0.37429237,8.028801
MLB:row30,MLB,30,0.032430712,0.04456928,0.020292144,0.37429237,7.994184
MLB:row31,MLB,31,0.032430712,0.04456928,0.020292144,0.37429237,8.013725
MLB:row32,MLB,32,0.032430712,0.04456928,0.020292144,0.37429237,8.005417
MLB:row33,MLB,33,0.032430712,0.04456928,0.020292144,0.37429237,7.982378
MLB:row34,MLB,34,0.032430712,0.04456928,0.020292144,0.37429237,7.99563
MLB:row35,MLB,35,0.032430712,0.04456928,0.020292144,0.37429237,8.025567
MLB:row36,MLB,36,0.032430712,0.04456928,0.020292144,0.37429237,8.026127
MLB:row37,MLB,37,0.032430712,0.04456928,0.020292144,0.37429237,8.053383
MLB:row38,MLB,38,0.032430712,0.04456928,0.020292144,0.37429237,8.0487795
MLB:row39,MLB,39,0.032430712,0.04456928,0.020292144,0.37429237,8.049174
MLB:row40,MLB,40,0.032430712,0.04456928,0.020292144,0.37429237,8.050559
phyAB:row3,phyAB,3,0.0711776,0.08404025,0.058314957,0.18071201,10.237363
phyAB:row4,phyAB,4,0.0711776,0.08404025,0.058314957,0.18071201,10.255837
phyAB:row5,phyAB,5,0.0711776,0.08404025,0.058314957,0.18071201,10.286859
phyAB:row6,phyAB,6,0.0711776,0.08404025,0.058314957,0.18071201,10.268809
phyAB:row7,phyAB,7,0.0711776,0.08404025,0.058314957,0.18071201,10.228262
phyAB:row8,phyAB,8,0.0711776,0.08404025,0.058314957,0.18071201,10.269926
phyAB:row9,phyAB,9,0.0711776,0.08404025,0.058314957,0.18071201,10.330173
phyAB:row10,phyAB,10,0.0711776,0.08404025,0.058314957,0.18071201,10.295698
phyAB:row11,phyAB,11,0.0711776,0.08404025,0.058314957,0.18071201,10.26814
phyAB:row12,phyAB,12,0.0711776,0.08404025,0.058314957,0.18071201,10.298953
phyAB:row13,phyAB,13,0.0711776,0.08404025,0.058314957,0.18071201,10.2765255
phyAB:row14,phyAB,14,0.0711776,0.08404025,0.058314957,0.18071201,10.2463455
phyAB:row15,phyAB,15,0.0711776,0.08404025,0.058314957,0.18071201,10.232714
phyAB:row16,phyAB,16,0.0711776,0.08404025,0.058314957,0.18071201,10.220843
phyAB:row17,phyAB,17,0.0711776,0.08404025,0.058314957,0.18071201,10.309452
phyAB:row18,phyAB,18,0.0711776,0.08404025,0.058314957,0.18071201,10.307584
phyAB:row19,phyAB,19,0.0711776,0.08404025,0.058314957,0.18071201,10.265536
phyAB:row20,phyAB,20,0.0711776,0.08404025,0.058314957,0.18071201,10.27717
phyAB:row21,phyAB,21,0.0711776,0.08404025,0.058314957,0.18071201,10.263328
phyAB:row22,phyAB,22,0.0711776,0.08404025,0.058314957,0.18071201,10.271469
phyAB:row23,phyAB,23,0.0711776,0.08404025,0.058314957,0.18071201,10.290687
phyAB:row24,phyAB,24,0.0711776,0.08404025,0.058314957,0.18071201,10.267411
phyAB:row25,phyAB,25,0.0711776,0.08404025,0.058314957,0.18071201,10.252825
