dataset,model,split,n_runs,is_primary,rmse_mean,rmse_sd,mae_mean,mae_sd,rrmse_percent_mean,rrmse_percent_sd,rmae_percent_mean,rmae_percent_sd,mean_target,unit,n_curves,n_scored_points,n_scored_points_without_actual_observation
arabidopsis,Logi-PINN,val,3,True,3.31590647498766,0.07456879780542597,2.82980600992838,0.03210516222534942,16.46791651774967,0.3703339483039163,14.053776692571006,0.15944512769101182,20.13555552952716,cm,18,72,0
arabidopsis,Logi-PINN,test,3,True,2.987346177299813,0.12570886231339876,2.52301432192325,0.06314439198886576,15.000273690074854,0.6312182211414559,12.668737771474255,0.31706508238777037,19.915277807740495,cm,18,72,0
maize,Logi-ODE,train,1,True,47.28625088016508,,40.10157337043965,,15.154172160807313,,12.851645784204049,,312.03453661731385,relative UAV height,804,10672,0
maize,Logi-ODE,val,1,True,124.62530847371362,,93.46928119404276,,49.169478715258194,,36.87722733436875,,253.4607071907803,relative UAV height,402,2729,0
maize,Logi-ODE,test,1,True,128.9824124057761,,98.042835969149,,41.865514316982235,,31.82304995219748,,308.0874904084385,relative UAV height,402,3973,0
maize,Temp-ODE,train,1,True,47.345803330887584,,40.16993847614271,,15.173257372132989,,12.873555251804714,,312.03453661731385,relative UAV height,804,10672,0
maize,Temp-ODE,val,1,True,110.11814754161058,,83.245413765948,,43.44584561532233,,32.84351830648411,,253.4607071907803,relative UAV height,402,2729,0
maize,Temp-ODE,test,1,True,110.29360879203124,,86.2217515390649,,35.79944406240335,,27.986125442730174,,308.0874904084385,relative UAV height,402,3973,0
maize,RF,train,3,True,7.031094165341653,0.005124802108526061,5.401718918594592,0.011843746536335133,2.2533063940818656,0.0016423829759623766,1.731128540178032,0.003795652450760713,312.03453661731385,relative UAV height,804,10672,0
maize,RF,val,3,True,131.77619549108184,0.9482310339391343,108.0788304829461,0.8408947419577542,51.9907787489497,0.3741136227578654,42.64125658009585,0.3317653261832046,253.4607071907803,relative UAV height,402,2729,0
maize,RF,test,3,True,139.60797795750725,0.3097721820096432,117.62803193444945,0.3688457648044729,45.31439357450892,0.10054682246233793,38.18007403627695,0.11972111049218147,308.0874904084385,relative UAV height,402,3973,0
maize,LSTM-NN,train,3,True,42.62062619471329,1.7299031847317696,33.80810146338129,1.633850111716044,13.658945146506065,0.5543947806179417,10.834730613439854,0.5236119467505725,312.03453661731385,relative UAV height,804,10672,0
maize,LSTM-NN,val,3,True,40.92247373198706,2.2091516433745753,32.817461359770626,2.272333008462417,16.145490236159027,0.8715953126855845,12.947751043347663,0.8965227918945359,253.4607071907803,relative UAV height,402,2729,0
maize,LSTM-NN,test,3,True,98.76747410696875,10.196125804609636,74.32322013218878,10.14657759396109,32.05825526250043,3.3094903629785217,24.12406295161703,3.2934078499940225,308.0874904084385,relative UAV height,402,3973,0
maize,Logi-PINN,train,3,True,33.18233847775024,2.0719616680993718,25.942042676356067,1.9279773583438196,10.634187752891535,0.6640167753739612,8.313836973812926,0.6178730659895945,312.03453661731385,relative UAV height,804,10672,0
maize,Logi-PINN,val,3,True,48.14495290243306,8.372141083104621,37.800713014551796,6.696540473810808,18.995036128497137,3.3031317460985776,14.913835534317807,2.6420428428657035,253.4607071907803,relative UAV height,402,2729,0
maize,Logi-PINN,test,3,True,108.70548254537329,44.42018762790154,86.83862380896369,32.42844509979562,35.28396508448298,14.418043254210907,28.18635177099849,10.525726006208334,308.0874904084385,relative UAV height,402,3973,0
maize,Ours (before maize tuning),train,3,False,57.531449202943044,19.402347019288893,47.84127085467842,15.891330049269172,18.437526123430654,6.2180126692464075,15.332043488939824,5.092811270682724,312.03453661731385,relative UAV height,804,10672,0
maize,Ours (before maize tuning),val,3,False,99.24163265785289,38.65931152703978,86.40364265759645,34.000627110920696,39.15464205785299,15.25258567906577,34.08956110603774,13.414555450335884,253.4607071907803,relative UAV height,402,2729,0
maize,Ours (before maize tuning),test,3,False,79.61073226909198,13.117188254915973,70.62585927347725,10.610571412459999,25.840300157448862,4.257617937530091,22.923962014766314,3.444012412965332,308.0874904084385,relative UAV height,402,3973,0
maize,Ours,train,3,True,41.897380504492105,14.370437333043828,34.35545475763632,13.404114450899531,13.427161287558368,4.605399610193809,11.01014494423437,4.2957150180265575,312.03453661731385,relative UAV height,804,10672,0
maize,Ours,val,3,True,47.24654463297455,2.6005900072494796,40.648311423094384,2.8973251212160296,18.640579503083288,1.0260328064546953,16.03732265786599,1.1431062247590147,253.4607071907803,relative UAV height,402,2729,0
maize,Ours,test,3,True,56.68436718577385,4.3696316962936335,48.78986444543108,3.111955001798807,18.398788964338056,1.4183087052644419,15.836366605067042,1.0100880752000738,308.0874904084385,relative UAV height,402,3973,0
wheat,Micro Latent Neural ODE,train,3,False,0.02473075,0.00063855,,,8.261594633011018,0.21331505323975963,,,0.29934596283849185,m,38,2394,741
wheat,Micro Latent Neural ODE,val,3,False,0.04152693,0.00386957,,,12.458869255526107,1.160944637735228,,,0.3333121902822827,m,19,798,152
wheat,Micro Latent Neural ODE,test,3,False,0.03289569,0.00140669,,,11.1063831165452,0.47493267556366714,,,0.2961872434509775,m,19,1368,475
wheat,Original Latent Neural ODE,train,3,False,0.0230874,0.00062663,,,7.7126144548862685,0.20933303862129918,,,0.29934596283849185,m,38,2394,741
wheat,Original Latent Neural ODE,val,3,False,0.04210075,0.00252474,,,12.631026175293739,0.7574700456835357,,,0.3333121902822827,m,19,798,152
wheat,Original Latent Neural ODE,test,3,False,0.03162878,0.0002115,,,10.678643560567433,0.07140753178149813,,,0.2961872434509775,m,19,1368,475
