additional_prefix_drop,model,seed,split,rmse,relative_error,mean_target,pooled_rmse,n_plants,n_observations
0.25,rf,1,val,1.276046976499856,22.459035990034337,5.681664061921765,1.754129725889656,128,128
0.25,rf,1,test,2.869774224498938,38.452654387140385,7.4631368633388,3.246158785425139,136,263
0.25,rf,2,train,0.047538671693118636,1.3526714422887416,3.514428574959966,0.08321668396050776,157,413
0.25,rf,2,val,1.2904662668516569,22.712822406538024,5.6816640563358085,1.7601215289935548,128,128
0.25,rf,2,test,2.9626220912187957,39.69674064302453,7.463136880330713,3.350190109589466,136,263
0.25,rf,3,train,0.05822343489649357,1.6422944715561276,3.5452493998427075,0.09130708626901349,157,413
0.25,rf,3,val,1.3196944487854296,23.2272523630431,5.6816640563358085,1.8628105392831182,128,128
0.25,rf,3,test,2.9120733756885886,39.01942872525134,7.463136880330713,3.285259722335622,136,263
0.25,lstm,1,train,0.32673112466342435,9.360299859904032,3.490605317710134,0.4020050588519385,157,413
0.25,lstm,1,val,0.7638614126335597,13.44432554104917,5.681664061921765,1.0612634760988997,128,128
0.25,lstm,1,test,1.44337945707166,19.34011774810106,7.4631368633388,1.6666203950353902,136,263
0.25,lstm,2,train,0.2730017463819173,7.768026595476539,3.514428574959966,0.3477450269117916,157,413
0.25,lstm,2,val,0.8973226426800248,15.793306921752812,5.6816640563358085,1.2188197838741157,128,128
0.25,lstm,2,test,2.054998823882398,27.53532270456408,7.463136880330713,2.33903798970814,136,263
0.25,lstm,3,train,0.2729082301340559,7.697857029357767,3.5452493998427075,0.35907341626588446,157,413
0.25,lstm,3,val,1.1317810237365775,19.919886366292488,5.6816640563358085,1.6371776686269561,128,128
0.25,lstm,3,test,1.8276845527997874,24.48949526326787,7.463136880330713,2.2809949546198274,136,263
0.25,logistic_pinn,1,train,0.32177622148028945,9.21835017690792,3.490605317710134,0.4599797480145364,157,413
0.25,logistic_pinn,1,val,0.7101064722519368,12.498212926931666,5.681664061921765,0.9473574103878016,128,128
0.25,logistic_pinn,1,test,1.1041920651995334,14.795280931047385,7.4631368633388,1.2758935417579171,136,263
0.25,logistic_pinn,2,train,0.3122485881395028,8.884761248649355,3.514428574959966,0.443969311226748,157,413
0.25,logistic_pinn,2,val,0.665832184175728,11.71896433111417,5.6816640563358085,0.8979931929905893,128,128
0.25,logistic_pinn,2,test,1.4362905980745142,19.245132725086346,7.463136880330713,1.6966010720713802,136,263
0.25,logistic_pinn,3,train,0.32952768616915673,9.29490845365567,3.5452493998427075,0.44248351720263573,157,413
0.25,logistic_pinn,3,val,0.642405511204386,11.306643702174169,5.6816640563358085,0.8670098007750228,128,128
0.25,logistic_pinn,3,test,1.2914360556597488,17.304198976483487,7.463136880330713,1.4901643190050187,136,263
0.25,latent_ode,1,train,0.3720585398256613,10.65885443816761,3.490605317710134,0.4829762953758762,157,413
0.25,latent_ode,1,val,0.5824139050673693,10.25076278216938,5.681664061921765,0.7937099598019473,128,128
0.25,latent_ode,1,test,0.9542168846171087,12.78573476663027,7.4631368633388,1.106008183838234,136,263
0.25,latent_ode,2,train,0.3843148679488912,10.935344388191728,3.514428574959966,0.49905247887755094,157,413
0.25,latent_ode,2,val,0.6849974347425158,12.056281891194411,5.6816640563358085,0.9403599012226335,128,128
0.25,latent_ode,2,test,1.7045334064765303,22.839369474367693,7.463136880330713,1.9895448342007587,136,263
0.25,latent_ode,3,train,0.41279525011861573,11.643616670153875,3.5452493998427075,0.5066264305851111,157,413
