protocol,dataset,additional_prefix_drop,model,label,split,n_seeds,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,pooled_rmse_mean,pooled_rmse_sd,mean_target_mean,mean_target_sd,n_plants,n_observations
prefix_forecast_20260911,hypocotyl,0.0,logistic_pinn,Logistic-PINN,test,3,1.3361903665982044,0.0829101881038865,17.903870557697633,1.1109294849247433,1.5450618635091573,0.10590908110070474,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.0,latent_ode,Latent ODE (no light),train,3,0.40001879677604496,0.0133094894438508,11.528075981313465,0.3835639895369785,0.47428391177006485,0.012026205201191853,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,latent_ode,Latent ODE (no light),val,3,0.6266633177294086,0.046189029482312606,11.02957358118694,0.8129489710115076,0.8174972911357609,0.04257657324873882,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,latent_ode,Latent ODE (no light),test,3,1.1429207950657039,0.15468024889896625,15.314214564091683,2.0725902710779693,1.3030741012272247,0.18188533953450647,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.0,latent_ode_light,Latent ODE (+ light),train,3,0.37703818750476464,0.017771237135794586,10.865801578432054,0.5121463632072198,0.4452176690398795,0.017981786025598242,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,latent_ode_light,Latent ODE (+ light),val,3,0.6036247577960603,0.015134053352557776,10.624083927013226,0.26636656448705937,0.8320509383843643,0.024350905984946443,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,latent_ode_light,Latent ODE (+ light),test,3,1.4391475843393433,0.05648988450360649,19.283414031065856,0.7569187783824113,1.6290491166491676,0.06634203425830772,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.0,phytoode,PhytoODE,train,3,0.356417645836582,0.059077638121935776,10.271541576045871,1.7025487465968019,0.4456874019748365,0.04971293642810328,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,phytoode,PhytoODE,val,3,0.5637471208620506,0.0073823152267891885,9.922218478112901,0.1299322725453451,0.7839533025918826,0.007589380915738619,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,phytoode,PhytoODE,test,3,1.702813316563062,0.08465837264278596,22.816321660277595,1.1343537442801739,1.9092766454982513,0.09725636093991803,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.25,logistic,Logistic ODE,train,3,0.3302891178879564,0.005812335541736191,9.391503857597067,0.11051607121120069,0.4798274844331416,0.007486537278782643,3.51676109750427,0.02739661336903919,157,413
prefix_forecast_20260911,hypocotyl,0.25,logistic,Logistic ODE,val,3,0.7545729681994522,0.07096068192264555,13.280844493038572,1.2489418767954295,0.9482993942282457,0.09473845847678505,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,logistic,Logistic ODE,test,3,1.661264797229407,0.02662880441642766,22.25960511156309,0.3568044575484804,1.905442257366081,0.037182687374045405,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.25,rf,Random forest,train,3,0.049892766174762015,0.007438455546248359,1.4176971028847116,0.2001692341097674,0.08371183556602946,0.007360177156407823,3.51676109750427,0.02739661336903919,157,413
prefix_forecast_20260911,hypocotyl,0.25,rf,Random forest,val,3,1.2954025640456475,0.022238496615565706,22.799703586538488,0.3914081674140042,1.7923539313887762,0.06109071634128834,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,rf,Random forest,test,3,2.9148232304687745,0.046484974611063205,39.05627458513876,0.6228610327056046,3.2938695391167427,0.05254736730416819,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.25,lstm,LSTM-NN,train,3,0.2908803670597992,0.03104770203875915,8.27539449491278,0.9402104446571664,0.36960783400987146,0.028622862093788982,3.51676109750427,0.02739661336903919,157,413
prefix_forecast_20260911,hypocotyl,0.25,lstm,LSTM-NN,val,3,0.9309883596833872,0.18625586013482057,16.385839609698156,3.2781920688192265,1.3057536428666572,0.29763637406794236,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,lstm,LSTM-NN,test,3,1.7753542779179483,0.309149487653463,23.788311905311005,4.142353153186695,2.095551113121119,0.3725968587746281,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.25,logistic_pinn,Logistic-PINN,train,3,0.321184165262983,0.00865475043562413,9.132673293070981,0.2180838801049483,0.44881085881464006,0.009701028834107906,3.51676109750427,0.02739661336903919,157,413
prefix_forecast_20260911,hypocotyl,0.25,logistic_pinn,Logistic-PINN,val,3,0.6727813892106836,0.03438129752720053,11.841273653406668,0.605127244542033,0.9041201347178046,0.04052269924151645,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,logistic_pinn,Logistic-PINN,test,3,1.2773062396445989,0.16649954252157922,17.114870877539072,2.230959231813834,1.4875529776114387,0.21036592129791062,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.25,latent_ode,Latent ODE (no light),train,3,0.3897228859643895,0.020899877643541124,11.079271832171072,0.5079128815401935,0.4962184016128461,0.012077094820796557,3.51676109750427,0.02739661336903919,157,413
prefix_forecast_20260911,hypocotyl,0.25,latent_ode,Latent ODE (no light),val,3,0.6189417163344721,0.057312896587469214,10.89366970673675,1.0087343461644704,0.8428472298166639,0.08444930979289461,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,latent_ode,Latent ODE (no light),test,3,1.2352829817642095,0.4090277821856182,16.551793197629934,5.480641558607661,1.4277351525891842,0.48825099579452497,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.25,latent_ode_light,Latent ODE (+ light),train,3,0.3869020896285678,0.025567426764681652,11.001318883100245,0.7138437372115272,0.4883833081806425,0.02276429702762595,3.51676109750427,0.02739661336903919,157,413
prefix_forecast_20260911,hypocotyl,0.25,latent_ode_light,Latent ODE (+ light),val,3,0.6212693364199949,0.05356865131306666,10.934636931500402,0.9428338418190516,0.8622504695510842,0.07407049500155706,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,latent_ode_light,Latent ODE (+ light),test,3,1.5137737558713307,0.2864353429280986,20.283344404229783,3.8380019835282804,1.721337568993282,0.31580583189590355,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.25,phytoode,PhytoODE,train,3,0.37119351841658504,0.042454580887625326,10.55529073949696,1.2097898362518318,0.48289309525971086,0.042637972604124746,3.51676109750427,0.02739661336903919,157,413
prefix_forecast_20260911,hypocotyl,0.25,phytoode,PhytoODE,val,3,0.5469493886458998,0.013262490861698527,9.626570368253775,0.23342617566721796,0.7759461152477818,0.005641664163707458,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,phytoode,PhytoODE,test,3,1.7015562930284958,0.07006102559299685,22.79947857819164,0.9387610830117938,1.9162520592347034,0.07047078044233576,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.5,logistic,Logistic ODE,train,3,0.18311186288283343,0.012272834389521184,5.307295155744449,0.40331315831171627,0.37181627837993664,0.0013887661098882745,3.4517600045984627,0.03277805939148609,157,275
prefix_forecast_20260911,hypocotyl,0.5,logistic,Logistic ODE,val,3,0.6658114046346894,0.09279173256321435,11.718598601840997,1.6331787949611793,0.891978304393611,0.12628295748504914,5.681664056064949,6.3959696298476445e-09,128,128
prefix_forecast_20260911,hypocotyl,0.5,logistic,Logistic ODE,test,3,1.7894278525390026,0.22537238199501733,23.976886417187075,3.0198077136946386,2.0346979876843085,0.26371132959657945,7.463136878964584,7.215341441852081e-09,136,263
prefix_forecast_20260911,hypocotyl,0.5,rf,Random forest,train,3,0.06615248603380698,0.005601906449138954,1.9159509853162213,0.1507906752125183,0.12208229652114111,0.01176369394876448,3.4517600045984627,0.03277805939148609,157,275
prefix_forecast_20260911,hypocotyl,0.5,rf,Random forest,val,3,1.709236725145482,0.07003670398981017,30.08338240805827,1.232679415689345,2.4103934162599994,0.08376391823228777,5.681664056064949,6.3959696298476445e-09,128,128
prefix_forecast_20260911,hypocotyl,0.5,rf,Random forest,test,3,3.4146072736817352,0.04675042481518543,45.752976651582834,0.6264179327473155,3.9718458369075456,0.056097627411372586,7.463136878964584,7.215341441852081e-09,136,263
prefix_forecast_20260911,hypocotyl,0.5,lstm,LSTM-NN,train,3,0.23658411904054613,0.026134832244083136,6.858943769187813,0.819631952003961,0.34409759593934225,0.023061123552001288,3.4517600045984627,0.03277805939148609,157,275
prefix_forecast_20260911,hypocotyl,0.5,lstm,LSTM-NN,val,3,1.2492131214371571,0.3381080756562657,21.98674735197936,5.950863549718889,1.6953095401494063,0.47857823667901894,5.681664056064949,6.3959696298476445e-09,128,128
prefix_forecast_20260911,hypocotyl,0.5,lstm,LSTM-NN,test,3,2.6403630865442103,0.4546759022016052,35.378730544014665,6.092289467695139,3.077068930641913,0.6179764451850761,7.463136878964584,7.215341441852081e-09,136,263
prefix_forecast_20260911,hypocotyl,0.5,logistic_pinn,Logistic-PINN,train,3,0.27017692018161904,0.05893175795819123,7.838312646099321,1.7795120862299867,0.4330407798860341,0.026767851494637986,3.4517600045984627,0.03277805939148609,157,275
prefix_forecast_20260911,hypocotyl,0.5,logistic_pinn,Logistic-PINN,val,3,0.7348022207284036,0.00897742869198167,12.932869903478439,0.15800702076919812,0.9705960565478327,0.03015073681737829,5.681664056064949,6.3959696298476445e-09,128,128
prefix_forecast_20260911,hypocotyl,0.5,logistic_pinn,Logistic-PINN,test,3,1.2481445248032275,0.11768340884901955,16.72412746968945,1.5768625431642551,1.4414059173597018,0.12646560711321914,7.463136878964584,7.215341441852081e-09,136,263
prefix_forecast_20260911,hypocotyl,0.5,latent_ode,Latent ODE (no light),train,3,0.3399208235166982,0.014725354129854151,9.850396080602641,0.5030787878182065,0.46306233640412703,0.023448256364267506,3.4517600045984627,0.03277805939148609,157,275
prefix_forecast_20260911,hypocotyl,0.5,latent_ode,Latent ODE (no light),val,3,0.757146547543273,0.2471136610131762,13.326140720503373,4.34931839854319,1.0746327653339154,0.40710644748997865,5.681664056064949,6.3959696298476445e-09,128,128
prefix_forecast_20260911,hypocotyl,0.5,latent_ode,Latent ODE (no light),test,3,1.2922612803347915,0.3574855946297742,17.315256326160686,4.790017948030626,1.522903369524787,0.43469755955071937,7.463136878964584,7.215341441852081e-09,136,263
prefix_forecast_20260911,hypocotyl,0.5,latent_ode_light,Latent ODE (+ light),train,3,0.3734541899947228,0.00794316869445855,10.818436679825929,0.12742836457784187,0.47546306637984287,0.012549201667766624,3.4517600045984627,0.03277805939148609,157,275
prefix_forecast_20260911,hypocotyl,0.5,latent_ode_light,Latent ODE (+ light),val,3,0.7864859413019537,0.019646802920382987,13.842528061296923,0.3457931194931139,1.0641599428805433,0.023614159710796633,5.681664056064949,6.3959696298476445e-09,128,128
prefix_forecast_20260911,hypocotyl,0.5,latent_ode_light,Latent ODE (+ light),test,3,2.010316665556348,0.1675241550376429,26.93661791555819,2.244688240440846,2.2592032497764567,0.13660340941629626,7.463136878964584,7.215341441852081e-09,136,263
prefix_forecast_20260911,hypocotyl,0.5,phytoode,PhytoODE,train,3,0.3051634427894117,0.016882124021689426,8.83883192096278,0.4214281919860782,0.4405061265377566,0.027111228188647887,3.4517600045984627,0.03277805939148609,157,275
prefix_forecast_20260911,hypocotyl,0.5,phytoode,PhytoODE,val,3,0.5609711548696117,0.027549232052772512,9.873360151463663,0.4848796270806288,0.7862760370192229,0.030191709429639044,5.681664056064949,6.3959696298476445e-09,128,128
prefix_forecast_20260911,hypocotyl,0.5,phytoode,PhytoODE,test,3,1.5747868738093642,0.1498425020293765,21.100870845893482,2.00776839139006,1.7777414431605962,0.16080786443256867,7.463136878964584,7.215341441852081e-09,136,263
