protocol,model,seed,split,rmse,relative_error,mean_target,n_curves,n_scored_group_means,n_observations,individual_rmse
time_holdout,phytoode,2,val,0.26705114824170006,5.873777738387179,4.546497333333333,5,25,125,0.6289876137927719
time_holdout,phytoode,2,test,0.4658800389169583,7.393665310742743,6.3010701639422395,5,10,257,0.9738655859079728
time_holdout,phytoode,3,train,0.17684411684101625,3.866757765018343,4.573446995849696,5,25,397,0.6812207015673309
time_holdout,phytoode,3,val,0.2637954877136769,5.802169634624447,4.546497333333333,5,25,125,0.6278327407191809
time_holdout,phytoode,3,test,0.5130250917570632,8.141872386897706,6.3010701639422395,5,10,257,0.9988671223698197
time_holdout,latent_ode,1,train,0.1483730867927418,3.2442288481179986,4.573446995849696,5,25,397,0.6764077966584121
time_holdout,latent_ode,1,val,0.2652289022339551,5.833697521153027,4.546497333333333,5,25,125,0.6304105260448238
time_holdout,latent_ode,1,test,0.431060430750443,6.841066986004671,6.3010701639422395,5,10,257,0.9690502950346849
time_holdout,latent_ode,2,train,0.1486155896261586,3.2495312564248375,4.573446995849696,5,25,397,0.6746935394548956
time_holdout,latent_ode,2,val,0.28766095062271285,6.327089395031272,4.546497333333333,5,25,125,0.637738598029649
time_holdout,latent_ode,2,test,0.44707550618523495,7.095231358374908,6.3010701639422395,5,10,257,0.9776305332478402
time_holdout,latent_ode,3,train,0.14060290825039373,3.074331207467537,4.573446995849696,5,25,397,0.6732605122063864
time_holdout,latent_ode,3,val,0.29449228424053936,6.477344264153079,4.546497333333333,5,25,125,0.640912375008809
time_holdout,latent_ode,3,test,0.3560275809622859,5.650271647499615,6.3010701639422395,5,10,257,0.9352680464436052
time_holdout,logistic_pinn,1,train,0.09531719472904278,2.0841434221396042,4.573446995849696,5,25,397,0.6664674761824025
time_holdout,logistic_pinn,1,val,0.28087153793086717,6.177756574750743,4.546497333333333,5,25,125,0.6342035483491063
time_holdout,logistic_pinn,1,test,0.3793770333992773,6.020834930076727,6.3010701639422395,5,10,257,0.949198378260285
time_holdout,logistic_pinn,2,train,0.12620264922887478,2.75946456454838,4.573446995849696,5,25,397,0.6696970154957507
time_holdout,logistic_pinn,2,val,0.30245715836610765,6.652531304672659,4.546497333333333,5,25,125,0.6406052584404599
time_holdout,logistic_pinn,2,test,0.4019676116570784,6.379354636571591,6.3010701639422395,5,10,257,0.976474282192516
time_holdout,logistic_pinn,3,train,0.11935793144249769,2.6098024433389617,4.573446995849696,5,25,397,0.6699184277419044
time_holdout,logistic_pinn,3,val,0.28267374913862486,6.217396127479489,4.546497333333333,5,25,125,0.6338068552039385
time_holdout,logistic_pinn,3,test,0.36147772661759725,5.736767203230762,6.3010701639422395,5,10,257,0.9417809270917857
time_holdout,lstm,1,train,0.03113397955312173,0.6807552286355378,4.573446995849696,5,25,397,0.6575489188936021
time_holdout,lstm,1,val,0.297478925569133,6.543035302981952,4.546497333333333,5,25,125,0.6369578795537686
time_holdout,lstm,1,test,0.5043157549256805,8.003652424180551,6.3010701639422395,5,10,257,1.0038176185398118
time_holdout,lstm,2,train,0.11057604432868892,2.4177834449384523,4.573446995849696,5,25,397,0.6642031251188978
time_holdout,lstm,2,val,0.2830085693286907,6.224760482179777,4.546497333333333,5,25,125,0.6290192435176162
time_holdout,lstm,2,test,0.5887787621984707,9.344107379850275,6.3010701639422395,5,10,257,1.0262817056500901
time_holdout,lstm,3,train,0.03158235827395196,0.690559184409752,4.573446995849696,5,25,397,0.6564204089795884
time_holdout,lstm,3,val,0.2961434518486239,6.513661619845313,4.546497333333333,5,25,125,0.6365116191499974
time_holdout,lstm,3,test,0.41442952637835406,6.577129211319048,6.3010701639422395,5,10,257,0.9509055242943429
time_holdout,rf,1,train,0.6458839998117221,14.12247699378276,4.573446995849696,5,25,397,0.937236578675327
time_holdout,rf,1,val,0.6299269473751895,13.85521427136413,4.546497333333333,5,25,125,0.8762383239097069
time_holdout,rf,1,test,1.3510587593374113,21.44173488289054,6.3010701639422395,5,10,257,1.7706425990815886
time_holdout,rf,2,train,0.6115840201131417,13.372496077206995,4.573446995849696,5,25,397,0.921449724138344
time_holdout,rf,2,val,0.5866417577132294,12.903158513086032,4.546497333333333,5,25,125,0.8559298812346217
time_holdout,rf,2,test,1.302409199662993,20.66965080179564,6.3010701639422395,5,10,257,1.7315207025218713
time_holdout,rf,3,train,0.6630889794605175,14.498669823051548,4.573446995849696,5,25,397,0.9689871595538775
time_holdout,rf,3,val,0.6625332783494429,14.572389023347268,4.546497333333333,5,25,125,0.9143009475266592
time_holdout,rf,3,test,1.313619314431356,20.84755891068344,6.3010701639422395,5,10,257,1.7260061416322219
time_holdout,logistic,1,train,0.36708497902116827,8.026439999289156,4.573446995849696,5,25,397,0.7654369559032497
