protocol,model,seed,split,genotype,rmse
replicate,latent_ode_matched,3,test,Col-0,0.43485728180879824
replicate,latent_ode_matched,3,test,hy5,0.2652386794345547
replicate,latent_ode_matched,3,test,MLB,0.19417130363247947
replicate,latent_ode_matched,3,test,EMS57,0.6313877951257005
replicate,latent_ode_matched,3,test,phyAB,0.2762243181691759
time_holdout,phytoode,1,train,Col-0,0.038374622527274305
time_holdout,phytoode,1,train,hy5,0.21414101402144758
time_holdout,phytoode,1,train,MLB,0.042020008554783814
time_holdout,phytoode,1,train,EMS57,0.16323412142645352
time_holdout,phytoode,1,train,phyAB,0.0931519403974704
time_holdout,phytoode,1,val,Col-0,0.07955757286504728
time_holdout,phytoode,1,val,hy5,0.4620500687199497
time_holdout,phytoode,1,val,MLB,0.12643538045353583
time_holdout,phytoode,1,val,EMS57,0.26748871345612824
time_holdout,phytoode,1,val,phyAB,0.4371226721714401
time_holdout,phytoode,1,test,Col-0,0.7645828207787433
time_holdout,phytoode,1,test,hy5,0.2393929769166153
time_holdout,phytoode,1,test,MLB,0.230128042147719
time_holdout,phytoode,1,test,EMS57,0.19374563130536834
time_holdout,phytoode,1,test,phyAB,0.3060807734244863
time_holdout,phytoode,2,train,Col-0,0.028187346866372594
time_holdout,phytoode,2,train,hy5,0.25101100006917176
time_holdout,phytoode,2,train,MLB,0.03158110296029507
time_holdout,phytoode,2,train,EMS57,0.3141186527429993
time_holdout,phytoode,2,train,phyAB,0.09244362979089985
time_holdout,phytoode,2,val,Col-0,0.08944847111844535
time_holdout,phytoode,2,val,hy5,0.3666404074261227
time_holdout,phytoode,2,val,MLB,0.12161113954913184
time_holdout,phytoode,2,val,EMS57,0.28923093684791773
time_holdout,phytoode,2,val,phyAB,0.46832478626688284
time_holdout,phytoode,2,test,Col-0,0.7859275133199458
time_holdout,phytoode,2,test,hy5,0.38021077754865434
time_holdout,phytoode,2,test,MLB,0.2833679882051755
time_holdout,phytoode,2,test,EMS57,0.4379229404328622
time_holdout,phytoode,2,test,phyAB,0.44197097507815386
time_holdout,phytoode,3,train,Col-0,0.06771826420029106
time_holdout,phytoode,3,train,hy5,0.29793598818477457
time_holdout,phytoode,3,train,MLB,0.02933627315640572
time_holdout,phytoode,3,train,EMS57,0.3414767535270845
time_holdout,phytoode,3,train,phyAB,0.14775330513652535
time_holdout,phytoode,3,val,Col-0,0.12437776155612075
time_holdout,phytoode,3,val,hy5,0.3510766143016561
time_holdout,phytoode,3,val,MLB,0.1483340139695704
time_holdout,phytoode,3,val,EMS57,0.22135318616055097
time_holdout,phytoode,3,val,phyAB,0.47383586258048616
time_holdout,phytoode,3,test,Col-0,0.8373834979359371
time_holdout,phytoode,3,test,hy5,0.4981681083598642
time_holdout,phytoode,3,test,MLB,0.2556851226327837
time_holdout,phytoode,3,test,EMS57,0.4846788521449228
time_holdout,phytoode,3,test,phyAB,0.4892098777118083
time_holdout,latent_ode,1,train,Col-0,0.014045681687670232
time_holdout,latent_ode,1,train,hy5,0.28481472721654594
time_holdout,latent_ode,1,train,MLB,0.040365655961565244
time_holdout,latent_ode,1,train,EMS57,0.29324429959940423
time_holdout,latent_ode,1,train,phyAB,0.10939506949852323
time_holdout,latent_ode,1,val,Col-0,0.09590840926706663
time_holdout,latent_ode,1,val,hy5,0.416212224160344
time_holdout,latent_ode,1,val,MLB,0.12141102988699248
time_holdout,latent_ode,1,val,EMS57,0.23428183670669703
time_holdout,latent_ode,1,val,phyAB,0.45833101114867536
time_holdout,latent_ode,1,test,Col-0,0.8185019161643642
time_holdout,latent_ode,1,test,hy5,0.4097209647459263
time_holdout,latent_ode,1,test,MLB,0.2386806728494249
time_holdout,latent_ode,1,test,EMS57,0.27359795087568284
time_holdout,latent_ode,1,test,phyAB,0.41480064911681674
time_holdout,latent_ode,2,train,Col-0,0.056997320214373426
time_holdout,latent_ode,2,train,hy5,0.2690402513893176
time_holdout,latent_ode,2,train,MLB,0.03696680662039333
time_holdout,latent_ode,2,train,EMS57,0.2919429418899873
time_holdout,latent_ode,2,train,phyAB,0.0881306280167213
time_holdout,latent_ode,2,val,Col-0,0.12730071998589043
time_holdout,latent_ode,2,val,hy5,0.41312435075191
time_holdout,latent_ode,2,val,MLB,0.13065302657321803
time_holdout,latent_ode,2,val,EMS57,0.2915610318194929
time_holdout,latent_ode,2,val,phyAB,0.47566562398305284
time_holdout,latent_ode,2,test,Col-0,0.856075005077942
time_holdout,latent_ode,2,test,hy5,0.38835886325534247
time_holdout,latent_ode,2,test,MLB,0.2793881124046081
time_holdout,latent_ode,2,test,EMS57,0.2867427598334828
time_holdout,latent_ode,2,test,phyAB,0.42481279035479924
time_holdout,latent_ode,3,train,Col-0,0.05806059526224147
time_holdout,latent_ode,3,train,hy5,0.24678630389453127
time_holdout,latent_ode,3,train,MLB,0.05230221178491475
time_holdout,latent_ode,3,train,EMS57,0.30080599369021244
time_holdout,latent_ode,3,train,phyAB,0.04505943662006874
time_holdout,latent_ode,3,val,Col-0,0.07744422939795108
time_holdout,latent_ode,3,val,hy5,0.4545542157827219
time_holdout,latent_ode,3,val,MLB,0.11736165589026315
time_holdout,latent_ode,3,val,EMS57,0.3656516398439877
time_holdout,latent_ode,3,val,phyAB,0.4574496802877731
time_holdout,latent_ode,3,test,Col-0,0.7458310966182978
time_holdout,latent_ode,3,test,hy5,0.27735057127539253
time_holdout,latent_ode,3,test,MLB,0.18701766946835205
time_holdout,latent_ode,3,test,EMS57,0.24891325695067149
time_holdout,latent_ode,3,test,phyAB,0.32102531049871547
time_holdout,logistic_pinn,1,train,Col-0,0.014841676647380096
time_holdout,logistic_pinn,1,train,hy5,0.23382424902142235
time_holdout,logistic_pinn,1,train,MLB,0.029641770067453093
time_holdout,logistic_pinn,1,train,EMS57,0.17668087899903054
time_holdout,logistic_pinn,1,train,phyAB,0.021597398909927783
time_holdout,logistic_pinn,1,val,Col-0,0.08235000885418638
time_holdout,logistic_pinn,1,val,hy5,0.39101497168794586
time_holdout,logistic_pinn,1,val,MLB,0.1377370447900707
time_holdout,logistic_pinn,1,val,EMS57,0.3092696539548425
time_holdout,logistic_pinn,1,val,phyAB,0.4839860103672906
time_holdout,logistic_pinn,1,test,Col-0,0.7687019294824244
time_holdout,logistic_pinn,1,test,hy5,0.3154180066923346
time_holdout,logistic_pinn,1,test,MLB,0.24265749338161063
time_holdout,logistic_pinn,1,test,EMS57,0.18004020314064484
time_holdout,logistic_pinn,1,test,phyAB,0.390067534299372
time_holdout,logistic_pinn,2,train,Col-0,0.06281757927927109
time_holdout,logistic_pinn,2,train,hy5,0.2357479636058692
time_holdout,logistic_pinn,2,train,MLB,0.1130451191564169
time_holdout,logistic_pinn,2,train,EMS57,0.19232727870240962
