plant_id,genotype,source_row,r_per_hour,K_mm,prefix_observations
phyAB:row27,phyAB,27,0.077365495,10.479311,4
phyAB:row28,phyAB,28,0.07343734,10.461531,4
phyAB:row29,phyAB,29,0.07167209,10.412267,3
phyAB:row30,phyAB,30,0.06741276,10.345591,2
phyAB:row31,phyAB,31,0.06625551,10.378392,3
phyAB:row32,phyAB,32,0.073481366,10.462363,4
phyAB:row33,phyAB,33,0.06473446,10.245376,2
phyAB:row34,phyAB,34,0.061393093,10.211406,2
phyAB:row35,phyAB,35,0.05805413,10.149984,1
phyAB:row36,phyAB,36,0.068002,10.384203,3
phyAB:row37,phyAB,37,0.060113907,10.243318,1
phyAB:row38,phyAB,38,0.05863269,10.231774,1
phyAB:row39,phyAB,39,0.059470527,10.238378,1
