epoch,data_loss,ode_loss,k_loss,objective,val_rmse,selection_rmse,val_rmse_normalized,selection_rmse_normalized
260,0.01471791323274374,3.383449075045064e-05,0.01752299629151821,0.01474190503358841,0.31949492551758885,0.31847726076841354,0.02328849956393242,0.023214320341746014
280,0.013599258847534657,3.22259365930222e-05,0.01325253862887621,0.01361753698438406,0.3168398268241435,0.3183441348802298,0.023094965144991875,0.023204616581400234
300,0.013285293243825436,3.145507434965111e-05,0.010037842206656933,0.013299280777573586,0.3136171053741127,0.316650619238615,0.022860055789351463,0.02308117349942525
320,0.013068151660263538,3.142313289572485e-05,0.008525798097252846,0.013080127537250519,0.31088404255919155,0.31378032491914926,0.022660838440060616,0.02287195312480132
340,0.012914614751935005,3.2236770493909717e-05,0.009640160016715527,0.012928089126944542,0.3093307652324438,0.3112773043885827,0.022547617554664612,0.022689503928025562
360,0.012820404954254627,3.1546100217383355e-05,0.006698063109070063,0.01282995194196701,0.3091073498558253,0.3097740525491536,0.022531332448124886,0.02257992948095004
380,0.012686297297477722,3.138224928989075e-05,0.004876438062638044,0.012693418189883232,0.30778655944392086,0.3087415581773967,0.022435057908296585,0.022504669303695362
400,0.012626195326447487,3.160931373713538e-05,0.005504184868186712,0.012634155340492725,0.3077328201625496,0.30820890982076526,0.022431140765547752,0.022465843707323074
420,0.012517916969954967,3.223406383767724e-05,0.008440906181931496,0.012529795058071613,0.30697781264595686,0.30749906408414246,0.022376107051968575,0.022414101908604305
440,0.012399635277688503,3.079387897741981e-05,0.003695851657539606,0.012405172921717167,0.3061803605519235,0.30696366445347667,0.022317979484796524,0.022375075767437618
460,0.012357190251350403,3.1063176720635965e-05,0.004299768712371588,0.012363537214696407,0.3052054385058582,0.3061212039012462,0.022246915847063065,0.022313667461276054
480,0.012265722267329693,3.231095615774393e-05,0.007680302951484919,0.012276590801775455,0.3046246556304395,0.30533681822940706,0.022204581648111343,0.02225649232665698
500,0.012192415073513985,3.205129178240895e-05,0.00699481088668108,0.012202366255223751,0.30414256086945535,0.3046575516685843,0.022169440984725952,0.02220697949330012
520,0.012132501229643822,3.1130388379096985e-05,0.0025544525124132633,0.012136528268456459,0.3039896224010736,0.30425227963365614,0.022158293053507805,0.022177438562115032
540,0.012078789062798023,3.105742871412076e-05,0.0035685361362993717,0.01208416372537613,0.3035562584102154,0.30389614722691477,0.022126704454421997,0.022151479497551918
560,0.011989603750407696,3.1031828257255256e-05,0.003229344030842185,0.011994525790214539,0.302473934462294,0.3033399384245276,0.02204781211912632,0.02211093654235204
580,0.011904492042958736,3.14190547214821e-05,0.004109880421310663,0.011910594068467617,0.3019215927757323,0.30265059521608056,0.022007551044225693,0.02206068920592467
600,0.01187717355787754,3.129312608507462e-05,0.003414881182834506,0.011882347986102104,0.30181104777753354,0.30206885833851993,0.02199949324131012,0.02201828546822071
620,0.011793210171163082,3.091645339736715e-05,0.002820327877998352,0.0117975864559412,0.30120565675757827,0.3016460991036147,0.02195536531507969,0.021987469866871834
640,0.011718924157321453,3.126199953840114e-05,0.00344182550907135,0.011724133975803852,0.30042588777467605,0.3011475307699293,0.021898526698350906,0.021951128418246906
660,0.011665189638733864,3.0894818337401375e-05,0.0018151075346395373,0.01166822761297226,0.29995122911967337,0.3005275912173092,0.02186392806470394,0.021905940026044846
680,0.01161431334912777,3.126317824353464e-05,0.003257605480030179,0.011619278229773045,0.29981582044064997,0.3000643124449998,0.021854057908058167,0.021872170890371006
700,0.01153559796512127,3.080349779338576e-05,0.0011192262172698975,0.011537708342075348,0.2987658473867923,0.29951096564903856,0.021777523681521416,0.02183183655142784
720,0.01148329395800829,3.108242162852548e-05,0.002126586390659213,0.011486750096082687,0.29848128217644987,0.29902098333463073,0.02175678126513958,0.021796120951573055
740,0.011404580436646938,3.0846884328639135e-05,0.0008094728109426796,0.011406280100345612,0.2970314970463514,0.2980928755365312,0.02165110409259796,0.021728469679752987
760,0.0113550815731287,3.1105457310331985e-05,0.0012786478037014604,0.011357410810887814,0.2963371793981641,0.2972833195403218,0.021600494161248207,0.021669459839661915
780,0.011319137178361416,3.082894181716256e-05,0.0009840548736974597,0.011321068741381168,0.2979321858007461,0.2971002874150872,0.021716756746172905,0.02165611833333969
800,0.011268828995525837,3.061024835915305e-05,0.0014083534479141235,0.011271320283412933,0.29512399531714617,0.2964644535053521,0.021512063220143318,0.02160977137585481
820,0.011208787560462952,3.063037365791388e-05,0.0010727107292041183,0.011210833676159382,0.2958640284072608,0.2963067365083843,0.021566005423665047,0.021598275129993755
