dataset,lambda_ode,seed,best_epoch,data_loss,weighted_ode_loss,raw_ode_loss,weighted_maximum_height_loss,weighted_ode_to_data_ratio,selected_positive
arabidopsis,0.1,1,650,0.0341483242809772,1.0294358617102262e-05,0.00010294358617102262,0.0003319159150123,0.00030146013995881134,False
arabidopsis,0.2236067977,1,390,0.0346638858318328,1.1773727237596177e-05,5.265370891538051e-05,0.0008431677124463,0.0003396539930553325,False
arabidopsis,0.5,1,650,0.0341574028134346,2.7899970518774356e-05,5.579994103754871e-05,0.0002667185326572,0.0008168059694456891,True
arabidopsis,0.5,2,350,0.0347383394837379,2.4706783733563498e-05,4.9413567467126995e-05,0.0005298172472976,0.0007112252370361432,True
arabidopsis,0.5,3,320,0.0344391763210296,2.007523107749876e-05,4.015046215499752e-05,0.000518397137057,0.0005829184441104132,True
arabidopsis,0.7071067812,1,380,0.0343670397996902,2.917453457484953e-05,4.125902247089004e-05,0.0002620129089336,0.0008489103147927372,False
arabidopsis,0.7071067812,2,320,0.0350785180926322,3.2827610993990675e-05,4.64252526871265e-05,0.0007524396060034,0.0009358323207184087,False
arabidopsis,0.7071067812,3,570,0.0338330119848251,3.0920524295652285e-05,4.3728224813766336e-05,0.000271519209491,0.0009139158023979912,False
arabidopsis,1.0,1,620,0.0341597273945808,4.588365845847875e-05,4.588365845847875e-05,0.000279762170976,0.0013432091517732038,False
arabidopsis,10.0,1,400,0.034742671996355,0.0003357940586283,3.357940586283e-05,0.0002351628354517,0.009665176548986491,False
arabidopsis,100.0,1,610,0.0351205505430698,0.0009700424270704,9.700424270704e-06,0.000254834711086,0.02762036505893598,False
arabidopsis,5.0,1,420,0.0343128889799118,0.0001834203430917,3.668406861834e-05,0.0003885302285198,0.005345523170581234,False
arabidopsis,50.0,1,570,0.0347203351557254,0.0009197023464366,1.8394046928732e-05,0.0003282777324784,0.02648886718148343,False
arabidopsis,500.0,1,650,0.0368200466036796,0.0011113659711554,2.2227319423108e-06,0.0002342760562896,0.030183719839299062,False
