observation_id,plant_id,genotype,source_row,source_cell,elapsed_hours,length_mm,split,plant_index
12L12D:B21,Col-0:row21,Col-0,21,B21,0,0.967,train,18
12L12D:G21,Col-0:row21,Col-0,21,G21,12,1.689,train,18
12L12D:L21,Col-0:row21,Col-0,21,L21,24,1.348,train,18
12L12D:Q21,Col-0:row21,Col-0,21,Q21,36,1.99,train,18
12L12D:V21,Col-0:row21,Col-0,21,V21,48,2.786,val,18
12L12D:AA21,Col-0:row21,Col-0,21,AA21,60,6.597,test,18
12L12D:AF21,Col-0:row21,Col-0,21,AF21,72,5.107,test,18
12L12D:B22,Col-0:row22,Col-0,22,B22,0,0.879,train,19
12L12D:G22,Col-0:row22,Col-0,22,G22,12,1.82,train,19
12L12D:L22,Col-0:row22,Col-0,22,L22,24,1.597,train,19
12L12D:Q22,Col-0:row22,Col-0,22,Q22,36,3.035,train,19
12L12D:V22,Col-0:row22,Col-0,22,V22,48,3.459,val,19
12L12D:AA22,Col-0:row22,Col-0,22,AA22,60,4.667,test,19
12L12D:AF22,Col-0:row22,Col-0,22,AF22,72,4.893,test,19
12L12D:B23,Col-0:row23,Col-0,23,B23,0,0.953,train,20
12L12D:G23,Col-0:row23,Col-0,23,G23,12,1.915,train,20
12L12D:L23,Col-0:row23,Col-0,23,L23,24,2.217,train,20
12L12D:Q23,Col-0:row23,Col-0,23,Q23,36,1.656,train,20
12L12D:V23,Col-0:row23,Col-0,23,V23,48,2.67,val,20
12L12D:AA23,Col-0:row23,Col-0,23,AA23,60,4.132,test,20
12L12D:AF23,Col-0:row23,Col-0,23,AF23,72,4.996,test,20
12L12D:B24,Col-0:row24,Col-0,24,B24,0,1.362,train,21
12L12D:G24,Col-0:row24,Col-0,24,G24,12,1.193,train,21
12L12D:L24,Col-0:row24,Col-0,24,L24,24,1.357,train,21
12L12D:Q24,Col-0:row24,Col-0,24,Q24,36,1.715,train,21
12L12D:V24,Col-0:row24,Col-0,24,V24,48,2.224,val,21
12L12D:AA24,Col-0:row24,Col-0,24,AA24,60,3.821,test,21
