observation_id,plant_id,genotype,source_row,source_cell,elapsed_hours,length_mm,split,plant_index
12L12D:R21,hy5:row21,hy5,21,R21,36,8.546,train,51
12L12D:C22,hy5:row22,hy5,22,C22,0,2.559,train,52
12L12D:H22,hy5:row22,hy5,22,H22,12,5.718,train,52
12L12D:M22,hy5:row22,hy5,22,M22,24,5.055,train,52
12L12D:R22,hy5:row22,hy5,22,R22,36,7.407,train,52
12L12D:C23,hy5:row23,hy5,23,C23,0,2.438,train,53
12L12D:H23,hy5:row23,hy5,23,H23,12,5.01,train,53
12L12D:M23,hy5:row23,hy5,23,M23,24,5.67,train,53
12L12D:R23,hy5:row23,hy5,23,R23,36,6.839,train,53
12L12D:C24,hy5:row24,hy5,24,C24,0,2.472,train,54
12L12D:H24,hy5:row24,hy5,24,H24,12,5.293,train,54
12L12D:M24,hy5:row24,hy5,24,M24,24,5.12,train,54
12L12D:R24,hy5:row24,hy5,24,R24,36,9.602,train,54
12L12D:C25,hy5:row25,hy5,25,C25,0,2.611,train,55
12L12D:H25,hy5:row25,hy5,25,H25,12,4.535,train,55
12L12D:M25,hy5:row25,hy5,25,M25,24,5.822,train,55
12L12D:R25,hy5:row25,hy5,25,R25,36,7.015,train,55
12L12D:C26,hy5:row26,hy5,26,C26,0,2.938,train,56
12L12D:H26,hy5:row26,hy5,26,H26,12,4.531,train,56
12L12D:M26,hy5:row26,hy5,26,M26,24,5.786,train,56
12L12D:R26,hy5:row26,hy5,26,R26,36,8.023,train,56
12L12D:C27,hy5:row27,hy5,27,C27,0,3.312,train,57
12L12D:H27,hy5:row27,hy5,27,H27,12,4.961,train,57
12L12D:M27,hy5:row27,hy5,27,M27,24,5.98,train,57
12L12D:R27,hy5:row27,hy5,27,R27,36,8.396,train,57
12L12D:C28,hy5:row28,hy5,28,C28,0,2.167,train,58
12L12D:H28,hy5:row28,hy5,28,H28,12,5.448,train,58
12L12D:M28,hy5:row28,hy5,28,M28,24,5.071,train,58
12L12D:R28,hy5:row28,hy5,28,R28,36,8.254,train,58
12L12D:C29,hy5:row29,hy5,29,C29,0,2.82,train,59
12L12D:M29,hy5:row29,hy5,29,M29,24,4.685,train,59
12L12D:C30,hy5:row30,hy5,30,C30,0,2.151,train,60
12L12D:M30,hy5:row30,hy5,30,M30,24,6.851,train,60
12L12D:C31,hy5:row31,hy5,31,C31,0,2.872,train,61
12L12D:C32,hy5:row32,hy5,32,C32,0,2.204,train,62
12L12D:M32,hy5:row32,hy5,32,M32,24,4.774,train,62
12L12D:C33,hy5:row33,hy5,33,C33,0,2.457,train,63
12L12D:C34,hy5:row34,hy5,34,C34,0,1.916,train,64
12L12D:C35,hy5:row35,hy5,35,C35,0,2.141,train,65
12L12D:D3,MLB:row3,MLB,3,D3,0,1.031,train,66
12L12D:I3,MLB:row3,MLB,3,I3,12,1.638,train,66
12L12D:N3,MLB:row3,MLB,3,N3,24,1.443,train,66
12L12D:S3,MLB:row3,MLB,3,S3,36,2.235,train,66
12L12D:D4,MLB:row4,MLB,4,D4,0,1.408,train,67
12L12D:I4,MLB:row4,MLB,4,I4,12,1.383,train,67
12L12D:N4,MLB:row4,MLB,4,N4,24,1.345,train,67
12L12D:S4,MLB:row4,MLB,4,S4,36,1.954,train,67
12L12D:D5,MLB:row5,MLB,5,D5,0,0.787,train,68
12L12D:I5,MLB:row5,MLB,5,I5,12,1.384,train,68
12L12D:N5,MLB:row5,MLB,5,N5,24,1.765,train,68
12L12D:S5,MLB:row5,MLB,5,S5,36,1.916,train,68
12L12D:D6,MLB:row6,MLB,6,D6,0,0.99,train,69
12L12D:I6,MLB:row6,MLB,6,I6,12,1.669,train,69
12L12D:N6,MLB:row6,MLB,6,N6,24,1.907,train,69
12L12D:S6,MLB:row6,MLB,6,S6,36,1.641,train,69
12L12D:D7,MLB:row7,MLB,7,D7,0,1.077,train,70
12L12D:I7,MLB:row7,MLB,7,I7,12,1.736,train,70
12L12D:N7,MLB:row7,MLB,7,N7,24,1.927,train,70
12L12D:S7,MLB:row7,MLB,7,S7,36,1.571,train,70
12L12D:D8,MLB:row8,MLB,8,D8,0,0.888,train,71
12L12D:I8,MLB:row8,MLB,8,I8,12,1.291,train,71
12L12D:N8,MLB:row8,MLB,8,N8,24,1.583,train,71
12L12D:S8,MLB:row8,MLB,8,S8,36,1.658,train,71
12L12D:D9,MLB:row9,MLB,9,D9,0,0.891,train,72
12L12D:I9,MLB:row9,MLB,9,I9,12,1.651,train,72
12L12D:N9,MLB:row9,MLB,9,N9,24,1.516,train,72
12L12D:S9,MLB:row9,MLB,9,S9,36,1.637,train,72
12L12D:D10,MLB:row10,MLB,10,D10,0,0.969,train,73
12L12D:I10,MLB:row10,MLB,10,I10,12,1.187,train,73
12L12D:N10,MLB:row10,MLB,10,N10,24,1.263,train,73
12L12D:S10,MLB:row10,MLB,10,S10,36,1.831,train,73
12L12D:D11,MLB:row11,MLB,11,D11,0,0.744,train,74
12L12D:I11,MLB:row11,MLB,11,I11,12,1.168,train,74
12L12D:N11,MLB:row11,MLB,11,N11,24,1.292,train,74
12L12D:S11,MLB:row11,MLB,11,S11,36,1.725,train,74
12L12D:D12,MLB:row12,MLB,12,D12,0,0.848,train,75
12L12D:I12,MLB:row12,MLB,12,I12,12,1.401,train,75
12L12D:N12,MLB:row12,MLB,12,N12,24,2.764,train,75
12L12D:S12,MLB:row12,MLB,12,S12,36,1.689,train,75
12L12D:D13,MLB:row13,MLB,13,D13,0,0.861,train,76
12L12D:I13,MLB:row13,MLB,13,I13,12,1.46,train,76
12L12D:N13,MLB:row13,MLB,13,N13,24,1.453,train,76
12L12D:S13,MLB:row13,MLB,13,S13,36,1.72,train,76
12L12D:D14,MLB:row14,MLB,14,D14,0,0.863,train,77
12L12D:I14,MLB:row14,MLB,14,I14,12,1.293,train,77
12L12D:N14,MLB:row14,MLB,14,N14,24,1.421,train,77
12L12D:S14,MLB:row14,MLB,14,S14,36,1.721,train,77
12L12D:D15,MLB:row15,MLB,15,D15,0,0.866,train,78
12L12D:I15,MLB:row15,MLB,15,I15,12,1.475,train,78
