genotype,replicate,source_row,flight_code,height_relative,date,year,dap,published_gdd_f,station_gdd_f,is_ground_flight,trajectory_id,height_raw,plot_id,block,entry,stand,field_range,field_row,has_loess_height,mapping_count,ambiguous_plot_mapping,unmapped_plot_metadata,observed,temperature_c,tmin_c,tmax_c,daily_gdd_c,thermal_integral_c,genotype_index,split
793,2,10,07122018,521.6072,2018-07-12,2018,59,1356,1356,False,YC18:2200,14.4364706,YC18:2200,1,37,>15,15,48,True,1,False,False,True,28.88888889,25,32.77777778,17.5,747.3611111,18,train
793,2,10,07172018,513.869606,2018-07-17,2018,64,1495,1495,False,YC18:2200,19.9607843,YC18:2200,1,37,>15,15,48,True,1,False,False,True,24.44444444,18.88888889,30,14.44444444,826.1111111,18,train
793,2,10,07242018,520.055761,2018-07-24,2018,71,1662.5,1662.5,False,YC18:2200,13.0501961,YC18:2200,1,37,>15,15,48,True,1,False,False,True,23.33333333,17.22222222,29.44444444,13.33333333,919.7222222,18,train
793,2,10,07312018,535.943735,2018-07-31,2018,78,1812,1812,False,YC18:2200,28.9019608,YC18:2200,1,37,>15,15,48,True,1,False,False,True,23.05555556,16.66666667,29.44444444,13.05555556,1002.916667,18,train
793,2,10,08092018,494.11094,2018-08-09,2018,87,2031.5,2031.5,False,YC18:2200,38.5882353,YC18:2200,1,37,>15,15,48,True,1,False,False,True,26.66666667,21.66666667,31.66666667,15.83333333,1123.472222,18,train
793,2,10,08172018,599.313988,2018-08-17,2018,95,2248.5,2248.5,False,YC18:2200,48.5882353,YC18:2200,1,37,>15,15,48,True,1,False,False,True,25,20,30,15,1244.444444,18,train
911,1,11,06282018,403.291533,2018-06-28,2018,45,946,946,False,YC18:1175,7.54509804,YC18:1175,1,12,23,4,18,True,1,False,False,True,23.88888889,20,27.77777778,13.88888889,521.3888889,20,train
911,1,11,07092018,444.246925,2018-07-09,2018,56,1267,1267,False,YC18:1175,27.4117647,YC18:1175,1,12,23,4,18,True,1,False,False,True,28.88888889,24.44444444,33.33333333,17.22222222,698.0555556,20,train
911,1,11,07122018,532.758285,2018-07-12,2018,59,1356,1356,False,YC18:1175,14.745098,YC18:1175,1,12,23,4,18,True,1,False,False,True,28.88888889,25,32.77777778,17.5,747.3611111,20,train
911,1,11,07172018,445.219049,2018-07-17,2018,64,1495,1495,False,YC18:1175,17.2941176,YC18:1175,1,12,23,4,18,True,1,False,False,True,24.44444444,18.88888889,30,14.44444444,826.1111111,20,train
