year,genotype,genotype_index,date,dap,split,height_relative,n_replicates,temperature_c,station_gdd_f
2018,764,14,2018-07-09,56,train,462.900211,2,28.88888889,1267
2018,764,14,2018-07-12,59,train,526.3821885,2,28.88888889,1356
2018,764,14,2018-07-17,64,train,499.836624,2,24.44444444,1495
2018,764,14,2018-07-24,71,train,555.561702,2,23.33333333,1662.5
2018,764,14,2018-07-31,78,train,511.866262,2,23.05555556,1812
2018,764,14,2018-08-09,87,train,516.2957175,2,26.66666667,2031.5
2018,764,14,2018-08-17,95,train,583.279074,2,25,2248.5
2018,78010,15,2018-06-05,22,train,56.2938015,1,22.77777778,430
2018,78010,15,2018-06-13,30,train,107.407339,1,20.83333333,585
2018,78010,15,2018-06-28,45,train,397.2128145,2,23.88888889,946
2018,78010,15,2018-07-09,56,train,447.329325,2,28.88888889,1267
2018,78010,15,2018-07-12,59,train,526.169652,2,28.88888889,1356
2018,78010,15,2018-07-17,64,train,515.207282,2,24.44444444,1495
2018,78010,15,2018-07-24,71,train,573.5334585,2,23.33333333,1662.5
2018,78010,15,2018-07-31,78,train,534.1621035,2,23.05555556,1812
2018,78010,15,2018-08-09,87,train,536.815884,2,26.66666667,2031.5
2018,78010,15,2018-08-17,95,train,611.2325485,2,25,2248.5
2018,78551S,16,2018-06-28,45,train,232.668192,1,23.88888889,946
2018,78551S,16,2018-07-09,56,train,338.364897,1,28.88888889,1267
2018,78551S,16,2018-07-12,59,train,423.656189,1,28.88888889,1356
2018,78551S,16,2018-07-17,64,train,412.912905,1,24.44444444,1495
2018,78551S,16,2018-07-24,71,train,482.893294,1,23.33333333,1662.5
2018,78551S,16,2018-07-31,78,train,480.67681,1,23.05555556,1812
2018,78551S,16,2018-08-09,87,train,445.227099,1,26.66666667,2031.5
2018,78551S,16,2018-08-17,95,train,519.01849,1,25,2248.5
2018,790,17,2018-06-05,22,train,54.1286552,1,22.77777778,430
2018,790,17,2018-06-13,30,train,55.2294326,1,20.83333333,585
2018,790,17,2018-06-28,45,train,351.098398,2,23.88888889,946
