model,seed,split,genotype,year,rmse,mae,n_scored
Logi-ODE,0,test,5,2021,0.05782495908517451,0.032845564126138496,72
Logi-ODE,0,test,30,2021,0.05221730215356246,0.03391921237995467,72
Logi-ODE,0,test,218,2021,0.09814645829561708,0.059730756761068836,72
Logi-ODE,0,test,2,2021,0.11647167176762853,0.07960623413878443,72
Logi-ODE,0,test,17,2021,0.08689594936779035,0.056591942569657036,72
Logi-ODE,0,test,254,2021,0.09019758462595673,0.056441886007009355,72
Logi-ODE,0,test,282,2021,0.13261712854492042,0.08160766597763397,72
Logi-ODE,0,test,294,2021,0.14180490819019534,0.08043071034235766,72
Logi-ODE,0,test,301,2021,0.12149860754838597,0.07958620643837827,72
Logi-ODE,0,test,302,2021,0.13438322985952322,0.08808725519077025,72
Logi-ODE,0,test,335,2021,0.10218557998956544,0.06490505130416484,72
Logi-ODE,0,test,339,2021,0.07804562339687668,0.051338704952918764,72
Logi-ODE,0,test,341,2021,0.10122718967357659,0.05862872922835779,72
Logi-ODE,0,test,6,2021,0.0818513013585792,0.05515585326668522,72
Logi-ODE,0,test,362,2021,0.14571575862562475,0.09119801365183515,72
