model,seed,dap,n_genotypes,mae
LSTM-NN,1,92,402,41.31122243248093
LSTM-NN,2,26,401,5.62048128366334
LSTM-NN,2,32,388,54.68069492431908
LSTM-NN,2,40,401,230.7672626981665
LSTM-NN,2,48,371,158.23458723596258
LSTM-NN,2,53,402,104.23709165525223
LSTM-NN,2,63,402,93.37633813069453
LSTM-NN,2,68,402,81.51978818255849
LSTM-NN,2,71,402,56.87970785357274
LSTM-NN,2,78,402,37.98705853574833
LSTM-NN,2,92,402,39.341333309771144
LSTM-NN,3,26,401,18.103656547276216
LSTM-NN,3,32,388,41.61260820454227
LSTM-NN,3,40,401,231.47493082476598
LSTM-NN,3,48,371,106.02425490600314
LSTM-NN,3,53,402,49.73296907987854
LSTM-NN,3,63,402,68.91189365787089
LSTM-NN,3,68,402,41.286635482219204
LSTM-NN,3,71,402,39.64957022456608
LSTM-NN,3,78,402,37.452243755922794
LSTM-NN,3,92,402,52.760625202732854
Logi-PINN,1,26,401,22.11612807257489
Logi-PINN,1,32,388,20.10006951944667
Logi-PINN,1,40,401,89.90959320217253
Logi-PINN,1,48,371,76.34350763747724
Logi-PINN,1,53,402,60.89217771267693
Logi-PINN,1,63,402,54.6984273409743
Logi-PINN,1,68,402,47.809472580148764
Logi-PINN,1,71,402,55.296178219383606
Logi-PINN,1,78,402,40.75811275616109
Logi-PINN,1,92,402,43.79307870541696
Logi-PINN,2,26,401,7.24001568285252
Logi-PINN,2,32,388,15.436274985571197
Logi-PINN,2,40,401,201.07292584409828
Logi-PINN,2,48,371,275.4848745308378
Logi-PINN,2,53,402,233.47034381063727
Logi-PINN,2,63,402,139.27565142614628
Logi-PINN,2,68,402,113.14466803628204
Logi-PINN,2,71,402,81.73024559368986
Logi-PINN,2,78,402,45.39050533404518
Logi-PINN,2,92,402,44.35252102354323
Logi-PINN,3,26,401,12.133722617988258
Logi-PINN,3,32,388,30.26301416156089
Logi-PINN,3,40,401,165.8085558352662
Logi-PINN,3,48,371,212.57263855673276
Logi-PINN,3,53,402,160.91794327444327
Logi-PINN,3,63,402,119.48780930707956
Logi-PINN,3,68,402,86.41351352788001
Logi-PINN,3,71,402,67.78218919703826
Logi-PINN,3,78,402,41.378069052466074
Logi-PINN,3,92,402,49.4692940470577
Latent Neural ODE (ours),1,26,401,48.883264804429295
Latent Neural ODE (ours),1,32,388,69.36731558434569
Latent Neural ODE (ours),1,40,401,58.51318350577782
Latent Neural ODE (ours),1,48,371,47.779174549859576
Latent Neural ODE (ours),1,53,402,61.861124816155005
Latent Neural ODE (ours),1,63,402,75.44308035083014
Latent Neural ODE (ours),1,68,402,84.24181697945951
Latent Neural ODE (ours),1,71,402,93.57265722361493
Latent Neural ODE (ours),1,78,402,84.95060305198758
Latent Neural ODE (ours),1,92,402,43.44048963242702
Latent Neural ODE (ours),2,26,401,47.49169588021417
Latent Neural ODE (ours),2,32,388,68.25487729221747
Latent Neural ODE (ours),2,40,401,37.55254769499265
Latent Neural ODE (ours),2,48,371,49.72792500308165
Latent Neural ODE (ours),2,53,402,62.60776986835501
Latent Neural ODE (ours),2,63,402,106.11624246429004
Latent Neural ODE (ours),2,68,402,121.30663649162724
Latent Neural ODE (ours),2,71,402,135.83603861298172
Latent Neural ODE (ours),2,78,402,135.61763755204794
Latent Neural ODE (ours),2,92,402,60.13180600126467
Latent Neural ODE (ours),3,26,401,47.18839788403273
Latent Neural ODE (ours),3,32,388,46.17506035525501
Latent Neural ODE (ours),3,40,401,50.35205122291052
Latent Neural ODE (ours),3,48,371,102.15295172608076
Latent Neural ODE (ours),3,53,402,78.18993459324535
Latent Neural ODE (ours),3,63,402,62.4886832084029
Latent Neural ODE (ours),3,68,402,66.45033497048536
Latent Neural ODE (ours),3,71,402,57.66838519170569
Latent Neural ODE (ours),3,78,402,47.868559104226804
Latent Neural ODE (ours),3,92,402,65.87615724908206
