protocol,model,seed,split,rmse,relative_error,mean_observed_length,n_observations,n_case_time_groups
replicate,logistic,1,test,0.8271872214293716,14.574560809362135,5.675555045871561,436,70
replicate,latent_ode_matched,1,train,0.7453929771874802,13.020461903525119,5.724781368821292,1052,70
replicate,latent_ode_matched,1,val,0.7196585446952124,12.35653657961235,5.824112121212121,330,70
replicate,latent_ode_matched,1,test,0.7712957195520531,13.589784846031915,5.675555045871561,436,70
replicate,latent_ode_matched,2,train,0.7551380244408592,13.19068757024583,5.724781368821292,1052,70
replicate,latent_ode_matched,2,val,0.7154468769683164,12.284222248444916,5.824112121212121,330,70
replicate,latent_ode_matched,2,test,0.7793459002877843,13.731624378388966,5.675555045871561,436,70
replicate,latent_ode_matched,3,train,0.7519730216077952,13.135401566656219,5.724781368821292,1052,70
replicate,latent_ode_matched,3,val,0.7178049752258335,12.324710793452978,5.824112121212121,330,70
replicate,latent_ode_matched,3,test,0.7800785848228481,13.744533856477751,5.675555045871561,436,70
time_holdout,phytoode,1,train,0.688773302677032,13.32085582253536,5.17063852242744,758,50
time_holdout,phytoode,1,val,0.6602760156951903,12.48625972751665,5.288020833333333,240,50
time_holdout,phytoode,1,test,0.9307644196353801,13.033046274744029,7.1415722772277235,505,20
time_holdout,phytoode,2,train,0.6934676003672594,13.411643404569302,5.17063852242744,758,50
time_holdout,phytoode,2,val,0.6627938072192319,12.533872844094605,5.288020833333333,240,50
time_holdout,phytoode,2,test,0.9245854232911223,12.946524762331967,7.1415722772277235,505,20
time_holdout,phytoode,3,train,0.6963342359137409,13.467084053418521,5.17063852242744,758,50
time_holdout,phytoode,3,val,0.6574102956483282,12.432067050574116,5.288020833333333,240,50
time_holdout,phytoode,3,test,0.9212550803927295,12.899891573321026,7.1415722772277235,505,20
time_holdout,latent_ode,1,train,0.6892148043517198,13.329394452199235,5.17063852242744,758,50
time_holdout,latent_ode,1,val,0.6601944069379039,12.484716451499807,5.288020833333333,240,50
time_holdout,latent_ode,1,test,0.930764254697565,13.033043965199173,7.1415722772277235,505,20
time_holdout,latent_ode,2,train,0.6934430557591118,13.411168712555131,5.17063852242744,758,50
time_holdout,latent_ode,2,val,0.6627048919888683,12.53219139779993,5.288020833333333,240,50
time_holdout,latent_ode,2,test,0.9242953649806401,12.942463215389328,7.1415722772277235,505,20
time_holdout,latent_ode,3,train,0.6949043929188427,13.43943093110691,5.17063852242744,758,50
time_holdout,latent_ode,3,val,0.657905527261827,12.441432210604827,5.288020833333333,240,50
time_holdout,latent_ode,3,test,0.9201896286450563,12.884972565204693,7.1415722772277235,505,20
time_holdout,light_pinn,1,train,0.6963216937449264,13.466841488235127,5.17063852242744,758,50
time_holdout,light_pinn,1,val,0.6583748854382638,12.450308086688334,5.288020833333333,240,50
time_holdout,light_pinn,1,test,0.9432747946535792,13.208223036002762,7.1415722772277235,505,20
time_holdout,light_pinn,2,train,0.6984408832965017,13.507826553085115,5.17063852242744,758,50
time_holdout,light_pinn,2,val,0.665038692652484,12.576325124522501,5.288020833333333,240,50
time_holdout,light_pinn,2,test,0.9442013984636775,13.221197823264285,7.1415722772277235,505,20
time_holdout,light_pinn,3,train,0.6959789489361284,13.460212813511276,5.17063852242744,758,50
time_holdout,light_pinn,3,val,0.6587370248623627,12.457156384671883,5.288020833333333,240,50
time_holdout,light_pinn,3,test,0.938027862763232,13.134752773619812,7.1415722772277235,505,20
time_holdout,lstm,1,train,0.698171621827625,13.502619044037466,5.17063852242744,758,50
time_holdout,lstm,1,val,0.6534898291690366,12.357928415291543,5.288020833333333,240,50
time_holdout,lstm,1,test,0.9143125278630685,12.802678351075851,7.1415722772277235,505,20
time_holdout,lstm,2,train,0.6862605332025595,13.272258933319968,5.17063852242744,758,50
time_holdout,lstm,2,val,0.6581734007711753,12.446497877284116,5.288020833333333,240,50
time_holdout,lstm,2,test,0.9409880409771852,13.176202724681602,7.1415722772277235,505,20
time_holdout,lstm,3,train,0.686322371568025,13.273454885525817,5.17063852242744,758,50
time_holdout,lstm,3,val,0.6657361168743723,12.589513881599474,5.288020833333333,240,50
time_holdout,lstm,3,test,0.9356878747871306,13.101987048016742,7.1415722772277235,505,20
time_holdout,rf,1,train,0.6914511346180223,13.372645015095916,5.17063852242744,758,50
time_holdout,rf,1,val,0.6586172288889354,12.454890962934659,5.288020833333333,240,50
time_holdout,rf,1,test,1.2660555249854304,17.727966277432937,7.1415722772277235,505,20
time_holdout,rf,2,train,0.6902552601848093,13.349516838024055,5.17063852242744,758,50
time_holdout,rf,2,val,0.6609525714063882,12.49905384714139,5.288020833333333,240,50
time_holdout,rf,2,test,1.2668699855489836,17.739370776777573,7.1415722772277235,505,20
time_holdout,rf,3,train,0.6920911980638768,13.385023823691379,5.17063852242744,758,50
time_holdout,rf,3,val,0.6599703089622408,12.480478609351941,5.288020833333333,240,50
time_holdout,rf,3,test,1.265898750673552,17.725771042185116,7.1415722772277235,505,20
time_holdout,light_logistic,1,train,0.7665698574334213,14.825438949337782,5.17063852242744,758,50
time_holdout,light_logistic,1,val,0.7575070755575504,14.324963902989232,5.288020833333333,240,50
time_holdout,light_logistic,1,test,1.0137851341166122,14.195545389203174,7.1415722772277235,505,20
time_holdout,logistic,1,train,0.772632742329801,14.94269496849445,5.17063852242744,758,50
time_holdout,logistic,1,val,0.735914000543135,13.916624456247606,5.288020833333333,240,50
