plant_id,genotype,source_row,r,r_light,r_dark,a,K_mm
MLB:row21,MLB,21,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row22,MLB,22,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row23,MLB,23,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row24,MLB,24,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row25,MLB,25,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row26,MLB,26,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row27,MLB,27,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row28,MLB,28,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row29,MLB,29,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row30,MLB,30,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row31,MLB,31,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row32,MLB,32,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row33,MLB,33,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row34,MLB,34,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row35,MLB,35,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row36,MLB,36,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row37,MLB,37,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row38,MLB,38,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row39,MLB,39,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row40,MLB,40,0.050000004,0.050000004,0.050000004,0.0,7.6736174
phyAB:row3,phyAB,3,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row4,phyAB,4,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row5,phyAB,5,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row6,phyAB,6,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row7,phyAB,7,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row8,phyAB,8,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row9,phyAB,9,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row10,phyAB,10,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row11,phyAB,11,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row12,phyAB,12,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row13,phyAB,13,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row14,phyAB,14,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row15,phyAB,15,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row16,phyAB,16,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row17,phyAB,17,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row18,phyAB,18,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row19,phyAB,19,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row20,phyAB,20,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row21,phyAB,21,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row22,phyAB,22,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row23,phyAB,23,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row24,phyAB,24,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row25,phyAB,25,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row26,phyAB,26,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row27,phyAB,27,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row28,phyAB,28,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row29,phyAB,29,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row30,phyAB,30,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row31,phyAB,31,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row32,phyAB,32,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row33,phyAB,33,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row34,phyAB,34,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row35,phyAB,35,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row36,phyAB,36,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row37,phyAB,37,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row38,phyAB,38,0.050000004,0.050000004,0.050000004,0.0,7.67768
phyAB:row39,phyAB,39,0.050000004,0.050000004,0.050000004,0.0,7.67768
