observation_id,sheet,genotype,elapsed_hours,length,source_cell,source_row,source_column,split
12L12D:N9,12L12D,MLB,24,1.516,N9,9,14,train
12L12D:N13,12L12D,MLB,24,1.453,N13,13,14,train
12L12D:N14,12L12D,MLB,24,1.421,N14,14,14,train
12L12D:N15,12L12D,MLB,24,1.509,N15,15,14,train
12L12D:N19,12L12D,MLB,24,1.146,N19,19,14,train
12L12D:N22,12L12D,MLB,24,1.9,N22,22,14,train
12L12D:N23,12L12D,MLB,24,1.222,N23,23,14,train
12L12D:N24,12L12D,MLB,24,1.517,N24,24,14,train
12L12D:N25,12L12D,MLB,24,1.925,N25,25,14,train
12L12D:N26,12L12D,MLB,24,1.057,N26,26,14,train
12L12D:N27,12L12D,MLB,24,1.326,N27,27,14,train
12L12D:N29,12L12D,MLB,24,2.345,N29,29,14,train
12L12D:N30,12L12D,MLB,24,1.507,N30,30,14,train
12L12D:N33,12L12D,MLB,24,1.206,N33,33,14,train
12L12D:N34,12L12D,MLB,24,1.719,N34,34,14,train
12L12D:N35,12L12D,MLB,24,1.24,N35,35,14,train
12L12D:N37,12L12D,MLB,24,1.72,N37,37,14,train
12L12D:N39,12L12D,MLB,24,1.607,N39,39,14,train
12L12D:O3,12L12D,EMS57,24,5.67,O3,3,15,train
12L12D:O6,12L12D,EMS57,24,5.962,O6,6,15,train
12L12D:O8,12L12D,EMS57,24,5.099,O8,8,15,train
12L12D:O9,12L12D,EMS57,24,6.208,O9,9,15,train
12L12D:O11,12L12D,EMS57,24,5.236,O11,11,15,train
12L12D:O13,12L12D,EMS57,24,4.585,O13,13,15,train
12L12D:O14,12L12D,EMS57,24,4.064,O14,14,15,train
12L12D:O16,12L12D,EMS57,24,6.82,O16,16,15,train
12L12D:O18,12L12D,EMS57,24,4.293,O18,18,15,train
12L12D:P3,12L12D,phyAB,24,5.848,P3,3,16,train
12L12D:P4,12L12D,phyAB,24,6.208,P4,4,16,train
12L12D:P5,12L12D,phyAB,24,6.509,P5,5,16,train
12L12D:P7,12L12D,phyAB,24,5.814,P7,7,16,train
12L12D:P10,12L12D,phyAB,24,7.157,P10,10,16,train
12L12D:P11,12L12D,phyAB,24,7.141,P11,11,16,train
12L12D:P13,12L12D,phyAB,24,6.512,P13,13,16,train
12L12D:P15,12L12D,phyAB,24,6.283,P15,15,16,train
12L12D:P19,12L12D,phyAB,24,6.404,P19,19,16,train
12L12D:P20,12L12D,phyAB,24,6.449,P20,20,16,train
