protocol,model,split,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,individual_rmse_mean,individual_rmse_sd,n_seeds
time_holdout,lstm,test,0.34330764058647656,0.041100783990642833,4.6475314777118015,0.5564023772638116,0.9355644641625559,0.013378610418765223,3
time_holdout,rf,train,0.38809600985251497,0.01695949552443996,7.527296989017835,0.32893705772675136,0.8043886113968995,0.006318434688695062,3
time_holdout,rf,val,0.4569046462199437,0.010818066108173754,8.756122864999416,0.207317471574271,0.7782872478892208,0.008572993641972402,3
time_holdout,rf,test,0.8093867356618255,0.0336880025380707,10.957083055898968,0.4560517556482429,1.2162330312910588,0.01717158279701147,3
time_holdout,light_logistic,train,0.3238693313244726,0.0,6.281591618116257,0.0,0.7684304561437094,0.0,1
time_holdout,light_logistic,val,0.45030799002241517,0.0,8.62970451350838,0.0,0.7592298657269272,0.0,1
time_holdout,light_logistic,test,0.49283584555546833,0.0,6.671771422421339,0.0,1.0163860496219004,0.0,1
time_holdout,logistic,train,0.33373511147333496,0.0,6.472942869671421,0.0,0.77529966314016,0.0,1
time_holdout,logistic,val,0.42940453598363043,0.0,8.229110618522336,0.0,0.7372942510564046,0.0,1
time_holdout,logistic,test,0.3274908815021556,0.0,4.433411903809543,0.0,0.9361931265932566,0.0,1
time_holdout,latent_ode_matched,train,0.17741028104374676,0.024569603146514254,3.4409523427692332,0.47653852420797166,0.7021606964175198,0.00541726930403889,3
time_holdout,latent_ode_matched,val,0.3084971841799448,0.010942721108002117,5.912041539813177,0.20970636059797346,0.6645400847373875,0.00833447869847395,3
time_holdout,latent_ode_matched,test,0.3453582844832123,0.03803398710417728,4.6752920951084205,0.5148855760611105,0.9370567468367734,0.017363053617301814,3
