protocol,model,seed,split,genotype,condition,rmse
replicate,latent_ode,3,val,hy5,12L12D,0.3927766730709107
replicate,latent_ode,3,val,hy5,cR,0.4295395976625433
replicate,latent_ode,3,val,MLB,12L12D,0.23739900351693677
replicate,latent_ode,3,val,MLB,cR,0.34381600361780823
replicate,latent_ode,3,val,EMS57,12L12D,0.323894769689634
replicate,latent_ode,3,val,EMS57,cR,0.44148341935384516
replicate,latent_ode,3,val,phyAB,12L12D,0.38404883820387176
replicate,latent_ode,3,val,phyAB,cR,0.1973368680257307
replicate,latent_ode,3,test,Col-0,12L12D,0.4447580161994914
replicate,latent_ode,3,test,Col-0,cR,0.2588992983039318
replicate,latent_ode,3,test,hy5,12L12D,0.2239056461451122
replicate,latent_ode,3,test,hy5,cR,0.35695839517239697
replicate,latent_ode,3,test,MLB,12L12D,0.1730475070323894
replicate,latent_ode,3,test,MLB,cR,0.2423216698730293
replicate,latent_ode,3,test,EMS57,12L12D,0.7428736655407995
replicate,latent_ode,3,test,EMS57,cR,0.39863725241521475
replicate,latent_ode,3,test,phyAB,12L12D,0.26639279896219137
replicate,latent_ode,3,test,phyAB,cR,0.26452074786162805
replicate,light_pinn,1,train,Col-0,12L12D,0.3606203649769242
replicate,light_pinn,1,train,Col-0,cR,0.180533881873227
replicate,light_pinn,1,train,hy5,12L12D,0.2541705104477913
replicate,light_pinn,1,train,hy5,cR,0.17114667771301476
replicate,light_pinn,1,train,MLB,12L12D,0.15204388631924382
replicate,light_pinn,1,train,MLB,cR,0.18221743701960513
replicate,light_pinn,1,train,EMS57,12L12D,0.27461473334541825
replicate,light_pinn,1,train,EMS57,cR,0.2425299511753907
replicate,light_pinn,1,train,phyAB,12L12D,0.17404889685602296
replicate,light_pinn,1,train,phyAB,cR,0.22824785305560336
replicate,light_pinn,1,val,Col-0,12L12D,0.16998956160800371
replicate,light_pinn,1,val,Col-0,cR,0.19280009480716268
replicate,light_pinn,1,val,hy5,12L12D,0.5093240916977144
replicate,light_pinn,1,val,hy5,cR,0.4646335821165566
replicate,light_pinn,1,val,MLB,12L12D,0.15391549377072472
replicate,light_pinn,1,val,MLB,cR,0.2631111216424503
replicate,light_pinn,1,val,EMS57,12L12D,0.35883383661279633
replicate,light_pinn,1,val,EMS57,cR,0.47389735327394683
replicate,light_pinn,1,val,phyAB,12L12D,0.3683196989549743
replicate,light_pinn,1,val,phyAB,cR,0.23305676843149326
replicate,light_pinn,1,test,Col-0,12L12D,0.5575028537648961
replicate,light_pinn,1,test,Col-0,cR,0.3230430636056156
replicate,light_pinn,1,test,hy5,12L12D,0.27138050904536387
replicate,light_pinn,1,test,hy5,cR,0.4010087902896531
replicate,light_pinn,1,test,MLB,12L12D,0.2420389982188019
replicate,light_pinn,1,test,MLB,cR,0.17438330553054895
replicate,light_pinn,1,test,EMS57,12L12D,0.5287809110275616
replicate,light_pinn,1,test,EMS57,cR,0.43467026061238845
replicate,light_pinn,1,test,phyAB,12L12D,0.278891109099063
replicate,light_pinn,1,test,phyAB,cR,0.28711212660088287
replicate,light_pinn,2,train,Col-0,12L12D,0.3424733381157316
replicate,light_pinn,2,train,Col-0,cR,0.2652350668289608
replicate,light_pinn,2,train,hy5,12L12D,0.3178300639902884
replicate,light_pinn,2,train,hy5,cR,0.1810316025741075
replicate,light_pinn,2,train,MLB,12L12D,0.11944234820847816
replicate,light_pinn,2,train,MLB,cR,0.06443340625446295
replicate,light_pinn,2,train,EMS57,12L12D,0.24253425020936625
replicate,light_pinn,2,train,EMS57,cR,0.17273453237016373
replicate,light_pinn,2,train,phyAB,12L12D,0.17406525765659744
replicate,light_pinn,2,train,phyAB,cR,0.19120549523817776
replicate,light_pinn,2,val,Col-0,12L12D,0.19431872988135168
replicate,light_pinn,2,val,Col-0,cR,0.2835934508494962
replicate,light_pinn,2,val,hy5,12L12D,0.4773903347201521
replicate,light_pinn,2,val,hy5,cR,0.4140734379338361
replicate,light_pinn,2,val,MLB,12L12D,0.12670522989313399
replicate,light_pinn,2,val,MLB,cR,0.24663865766173054
replicate,light_pinn,2,val,EMS57,12L12D,0.36898479821708496
replicate,light_pinn,2,val,EMS57,cR,0.46509495476824475
replicate,light_pinn,2,val,phyAB,12L12D,0.36852904266705194
replicate,light_pinn,2,val,phyAB,cR,0.26398028529094475
replicate,light_pinn,2,test,Col-0,12L12D,0.50157049478084
replicate,light_pinn,2,test,Col-0,cR,0.4241492028293003
replicate,light_pinn,2,test,hy5,12L12D,0.3368781941105909
replicate,light_pinn,2,test,hy5,cR,0.3680443889728455
replicate,light_pinn,2,test,MLB,12L12D,0.1985706553294021
replicate,light_pinn,2,test,MLB,cR,0.21195548939972864
replicate,light_pinn,2,test,EMS57,12L12D,0.5596815229978702
replicate,light_pinn,2,test,EMS57,cR,0.45664385966208265
replicate,light_pinn,2,test,phyAB,12L12D,0.2756836229828993
replicate,light_pinn,2,test,phyAB,cR,0.26721961527839966
replicate,light_pinn,3,train,Col-0,12L12D,0.3080852573607754
replicate,light_pinn,3,train,Col-0,cR,0.14676393646919242
replicate,light_pinn,3,train,hy5,12L12D,0.21463813329507436
replicate,light_pinn,3,train,hy5,cR,0.1680198080306782
replicate,light_pinn,3,train,MLB,12L12D,0.12499868549632617
replicate,light_pinn,3,train,MLB,cR,0.1024705142572854
replicate,light_pinn,3,train,EMS57,12L12D,0.28440783657570606
replicate,light_pinn,3,train,EMS57,cR,0.15388805962628888
replicate,light_pinn,3,train,phyAB,12L12D,0.18085556479473613
replicate,light_pinn,3,train,phyAB,cR,0.15950172764305803
replicate,light_pinn,3,val,Col-0,12L12D,0.14861512770138713
replicate,light_pinn,3,val,Col-0,cR,0.21455712023663032
replicate,light_pinn,3,val,hy5,12L12D,0.521876203274503
replicate,light_pinn,3,val,hy5,cR,0.4602922363300977
replicate,light_pinn,3,val,MLB,12L12D,0.11744392331139798
replicate,light_pinn,3,val,MLB,cR,0.2196586942745943
replicate,light_pinn,3,val,EMS57,12L12D,0.3792276952483112
replicate,light_pinn,3,val,EMS57,cR,0.48864677325643163
replicate,light_pinn,3,val,phyAB,12L12D,0.3545270396821223
replicate,light_pinn,3,val,phyAB,cR,0.2441814039012095
replicate,light_pinn,3,test,Col-0,12L12D,0.4661002817324337
replicate,light_pinn,3,test,Col-0,cR,0.220707948556026
