protocol,model,seed,split,rmse,relative_error,mean_target,n_curves,n_scored_group_means,n_observations,individual_rmse
time_holdout,light_logistic,1,val,0.45030799002241517,8.62970451350838,5.218115977407248,10,50,240,0.7592298657269272
time_holdout,light_logistic,1,test,0.49283584555546833,6.671771422421339,7.3868814494937665,10,20,505,1.0163860496219004
time_holdout,logistic,1,train,0.33373511147333496,6.472942869671421,5.1558482469701765,10,50,758,0.77529966314016
time_holdout,logistic,1,val,0.42940453598363043,8.229110618522336,5.218115977407248,10,50,240,0.7372942510564046
time_holdout,logistic,1,test,0.3274908815021556,4.433411903809543,7.3868814494937665,10,20,505,0.9361931265932566
time_holdout,latent_ode_matched,1,train,0.2001852395045208,3.8826829246217485,5.1558482469701765,10,50,758,0.7062760328484379
time_holdout,latent_ode_matched,1,val,0.31668647158732455,6.068981083564919,5.218115977407248,10,50,240,0.6738042373537108
time_holdout,latent_ode_matched,1,test,0.38494331470539195,5.2111749367762314,7.3868814494937665,10,20,505,0.954589296310875
time_holdout,latent_ode_matched,2,train,0.1806734451135604,3.504242880300691,5.1558482469701765,10,50,758,0.70418283349861
time_holdout,latent_ode_matched,2,val,0.3127358965869113,5.993272245020165,5.218115977407248,10,50,240,0.6621652506407352
time_holdout,latent_ode_matched,2,test,0.34203857155549644,4.630351439834422,7.3868814494937665,10,20,505,0.9367126400285242
time_holdout,latent_ode_matched,3,train,0.15137215851315902,2.9359312233852606,5.1558482469701765,10,50,758,0.6960232229055116
time_holdout,latent_ode_matched,3,val,0.2960691843655986,5.673871290854444,5.218115977407248,10,50,240,0.6576507662177166
time_holdout,latent_ode_matched,3,test,0.30909296718874857,4.184349908714606,7.3868814494937665,10,20,505,0.9198683041709211
