epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,best_selection_rmse,L_m,L_r,L_y
160,0.04058130457997322,0.04101315513253212,3.3063866198062897,3.392501212656498,-1,,8.74765173648484e-05,0.0,0.0003443736059125513
170,0.040806300938129425,0.04200240597128868,3.5386092960834503,3.4073496609926224,-1,,8.702657942194492e-05,0.0,0.001109077362343669
180,0.04048089683055878,0.04118988662958145,3.2992660999298096,3.399862460792065,-1,,8.2963022578042e-05,0.0,0.0006260289228521287
190,0.04052649810910225,0.040929894894361496,3.352295607328415,3.396794460713863,-1,,7.787413051119074e-05,0.0,0.00032552232732996345
200,0.03972155228257179,0.04046444222331047,3.35732065141201,3.381537906825542,-1,,7.576843199785799e-05,0.0,0.0006671195733360946
210,0.03959408402442932,0.0403454564511776,3.293715789914131,3.372927121818066,-1,,7.385003118542954e-05,0.0,0.0006775222136639059
220,0.038842182606458664,0.03954695910215378,3.346148505806923,3.3626431226730347,-1,,7.381616887869313e-05,0.0,0.0006309598684310913
230,0.03838851675391197,0.03903393819928169,3.2912615686655045,3.3542046695947647,-1,,7.324582838919014e-05,0.0,0.0005721753113903105
240,0.03788638859987259,0.03846278041601181,3.3446718007326126,3.3459855988621707,-1,,7.21198448445648e-05,0.0,0.0005042713601142168
250,0.03703540936112404,0.03762122243642807,3.3421460539102554,3.3471821993589406,-1,,7.741634181002155e-05,0.0,0.000508396013174206
260,0.03634607046842575,0.03701774403452873,3.2651253044605255,3.343056067824364,-1,,8.096495002973825e-05,0.0,0.0005907087470404804
270,0.036099232733249664,0.03691944479942322,3.4293122589588165,3.3321263641119003,-1,,7.719043787801638e-05,0.0,0.0007430187542922795
280,0.03594401478767395,0.036895617842674255,3.221546486020088,3.324354402720928,-1,,7.823437044862658e-05,0.0,0.0008733683498576283
290,0.03552985563874245,0.035845790058374405,3.3136986196041107,3.3204947039484978,-1,,7.035001181066036e-05,0.0,0.00024558621225878596
300,0.035204287618398666,0.036224402487277985,3.227664530277252,3.3075290918350224,300,3.3075290918350224,8.007045107660815e-05,0.0,0.0009400443523190916
310,0.035234734416007996,0.03633027523756027,3.2113980501890182,3.299297317862511,310,3.299297317862511,7.754511170787737e-05,0.0,0.0010179955279454589
320,0.034662529826164246,0.03524748608469963,3.554224967956543,3.3201049640774727,310,3.299297317862511,7.171901233959943e-05,0.0,0.000513238541316241
330,0.03515508398413658,0.036257609724998474,3.239964321255684,3.3149752393364906,310,3.299297317862511,8.651307143736631e-05,0.0,0.001016013091430068
340,0.03463292121887207,0.03528464213013649,3.4540463238954544,3.325912691652775,310,3.299297317862511,7.181871478678659e-05,0.0,0.0005799025529995561
350,0.03457716107368469,0.03532617539167404,3.2154157757759094,3.31323966383934,310,3.299297317862511,7.979618385434151e-05,0.0,0.0006692176102660596
360,0.034681905061006546,0.03551344946026802,3.4012727439403534,3.3268544077873234,310,3.299297317862511,7.70128463045694e-05,0.0,0.0007545325788669288
370,0.034473080188035965,0.03526647016406059,3.2272014766931534,3.3066433295607567,310,3.299297317862511,7.798262231517583e-05,0.0,0.000715407426469028
380,0.03459952026605606,0.0351644903421402,3.363361582159996,3.320824839174748,310,3.299297317862511,7.88872130215168e-05,0.0,0.0004860831832047552
390,0.03447716683149338,0.03494447097182274,3.262101858854294,3.3156651630997658,310,3.299297317862511,7.850174006307498e-05,0.0,0.0003887999337166548
400,0.034418415278196335,0.03481914475560188,3.32443043589592,3.325341753661633,310,3.299297317862511,7.56160297896713e-05,0.0,0.0003251148737035692
410,0.03442776948213577,0.03492937609553337,3.336377441883087,3.337839692831039,310,3.299297317862511,7.533435564255342e-05,0.0,0.00042627271614037454
420,0.03451765328645706,0.03514676168560982,3.3025238662958145,3.312669582664966,310,3.299297317862511,8.014852210180834e-05,0.0,0.0005489573231898248
430,0.034453265368938446,0.035108864307403564,3.2350540161132812,3.3121785521507263,310,3.299297317862511,8.037660154514015e-05,0.0,0.000575220794416964
440,0.03468161076307297,0.03558226302266121,3.40634323656559,3.30740824341774,310,3.299297317862511,8.434326446149498e-05,0.0,0.0008163091843016446
450,0.034332722425460815,0.03497374802827835,3.1830064952373505,3.304167315363884,310,3.299297317862511,7.917788025224581e-05,0.0,0.0005618476425297558
460,0.03437817469239235,0.035041701048612595,3.3891506493091583,3.3029551059007645,310,3.299297317862511,8.247690129792318e-05,0.0,0.0005810493021272123
