dataset,model,split,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,n_seeds,lambda_ode,lambda_k
arabidopsis,RF,val,3.2166210313638004,0.0080282060635085,15.974831320878565,0.0398707949812257,3,,
arabidopsis,RF,test,2.877542686959103,0.0096329912314743,14.44892064644303,0.0483698561700739,3,,
arabidopsis,LSTM-NN,train,1.7013594197730166,0.1216352086208331,8.086593716701262,0.5781344625547155,3,,
arabidopsis,LSTM-NN,val,3.3427546421686767,0.1025750269512567,16.601253624548864,0.5094223837074593,3,,
arabidopsis,LSTM-NN,test,2.950815608104066,0.0644778247049911,14.816843815039173,0.323760608952842,3,,
arabidopsis,Logi-PINN,train,1.7214055483539832,0.0341443633202896,8.181873347532386,0.1622888089827931,3,,
arabidopsis,Logi-PINN,val,3.31590647498766,0.074568797805426,16.467916517749668,0.3703339483039146,3,,
arabidopsis,Logi-PINN,test,2.987346177299813,0.1257088623133987,15.000273690074854,0.6312182211414556,3,,
maize,Logi-ODE,train,47.28625088016508,,15.154172160807311,,1,,
maize,Logi-ODE,val,124.62530847371362,,49.169478715258194,,1,,
maize,Logi-ODE,test,128.9824124057761,,41.86551431698224,,1,,
maize,Temp-ODE,train,47.345803330887584,,15.173257372132989,,1,,
maize,Temp-ODE,val,110.11814754161058,,43.44584561532233,,1,,
maize,Temp-ODE,test,110.29360879203124,,35.79944406240335,,1,,
maize,RF,train,7.031094165341653,0.0051248021085263,2.2533063940818656,0.0016423829759624,3,,
maize,RF,val,131.77619549108184,0.9482310339391448,51.99077874894969,0.3741136227578613,3,,
maize,RF,test,139.60797795750725,0.3097721820096432,45.31439357450892,0.1005468224623325,3,,
maize,LSTM-NN,train,42.62062619471329,1.729903184731768,13.658945146506063,0.5543947806179411,3,,
maize,LSTM-NN,val,40.922473731987054,2.209151643374572,16.145490236159027,0.8715953126855839,3,,
maize,LSTM-NN,test,98.76747410696876,10.196125804609634,32.05825526250043,3.3094903629785217,3,,
maize,Logi-PINN,train,33.18233847775024,2.071961668099372,10.634187752891537,0.6640167753739606,3,,
maize,Logi-PINN,val,48.14495290243306,8.372141083104621,18.995036128497137,3.303131746098577,3,,
maize,Logi-PINN,test,108.70548254537329,44.42018762790154,35.28396508448298,14.418043254210913,3,,
wheat,PhytoODE,train,0.0223093643049416,6.6691943981587e-05,7.452702583123998,0.0222792194520404,3,3.16227766,0.1
wheat,PhytoODE,val,0.0376804138912679,0.0007745386072791,11.304841223885752,0.2323763216170465,3,3.16227766,0.1
wheat,PhytoODE,test,0.0303216766451837,0.000662370381978,10.237333752762495,0.2236323125400457,3,3.16227766,0.1
wheat,Latent ODE (no physics),train,0.0210797654403747,5.751183826439855e-05,7.041940783329717,0.0192124983811538,3,0.0,0.0
wheat,Latent ODE (no physics),val,0.0383417888045084,0.0008703114481481,11.503266283791426,0.2611099964303756,3,0.0,0.0
wheat,Latent ODE (no physics),test,0.0309126353581587,0.0002324688501801,10.436855753132784,0.078487124385082,3,0.0,0.0
maize,PhytoODE,train,41.897380504492105,14.370437333043832,13.427161287558368,4.60539961019381,3,0.5,0.5
maize,PhytoODE,val,47.24654463297455,2.60059000724948,18.64057950308329,1.0260328064546962,3,0.5,0.5
maize,PhytoODE,test,56.68436718577385,4.3696316962936335,18.398788964338056,1.418308705264442,3,0.5,0.5
maize,Latent ODE (no physics),train,43.25181514960755,5.757829332030248,13.861226907280631,1.8452538601814408,3,0.0,0.0
maize,Latent ODE (no physics),val,60.752947446188216,10.025984698537862,23.96937502445276,3.955636678229295,3,0.0,0.0
maize,Latent ODE (no physics),test,67.78140441037421,13.620087806329312,22.000699970165897,4.420850644819383,3,0.0,0.0
arabidopsis,PhytoODE,train,1.421057098982096,0.0295640282667479,6.754311448920919,0.1405183892620164,3,0.5,0.1
arabidopsis,PhytoODE,val,3.1914670369315825,0.0331276215732626,15.849908050719309,0.164523007694937,3,0.5,0.1
arabidopsis,PhytoODE,test,2.7996680229569004,0.016346296319573,14.05789088148572,0.0820791779927843,3,0.5,0.1
arabidopsis,Latent ODE (no physics),train,1.1875417068372969,0.0281887780684279,5.644408343836226,0.1339817988841227,3,0.0,0.0
arabidopsis,Latent ODE (no physics),val,3.277781866445903,0.0465578687218719,16.278576777478534,0.2312221714151313,3,0.0,0.0
arabidopsis,Latent ODE (no physics),test,2.993163992726856,0.0662004792402041,15.029486515942546,0.3324105236155639,3,0.0,0.0
