observation_id,sheet,genotype,elapsed_hours,length,source_cell,source_row,source_column
12L12D:K23,12L12D,phyAB,12,4.994,K23,23,11
12L12D:K24,12L12D,phyAB,12,4.481,K24,24,11
12L12D:K25,12L12D,phyAB,12,4.032,K25,25,11
12L12D:K26,12L12D,phyAB,12,4.61,K26,26,11
12L12D:K27,12L12D,phyAB,12,4.949,K27,27,11
12L12D:K28,12L12D,phyAB,12,5.017,K28,28,11
12L12D:K29,12L12D,phyAB,12,4.433,K29,29,11
12L12D:K30,12L12D,phyAB,12,4.747,K30,30,11
12L12D:K31,12L12D,phyAB,12,4.808,K31,31,11
12L12D:K32,12L12D,phyAB,12,3.765,K32,32,11
12L12D:K33,12L12D,phyAB,12,4.268,K33,33,11
12L12D:K34,12L12D,phyAB,12,4.138,K34,34,11
12L12D:K35,12L12D,phyAB,12,4.613,K35,35,11
12L12D:K36,12L12D,phyAB,12,5.006,K36,36,11
12L12D:K37,12L12D,phyAB,12,5.214,K37,37,11
12L12D:K38,12L12D,phyAB,12,3.475,K38,38,11
12L12D:L3,12L12D,Col-0,24,2.44,L3,3,12
12L12D:L4,12L12D,Col-0,24,1.173,L4,4,12
12L12D:L5,12L12D,Col-0,24,1.252,L5,5,12
12L12D:L6,12L12D,Col-0,24,1.421,L6,6,12
12L12D:L7,12L12D,Col-0,24,1.778,L7,7,12
12L12D:L8,12L12D,Col-0,24,1.631,L8,8,12
12L12D:L9,12L12D,Col-0,24,1.823,L9,9,12
12L12D:L10,12L12D,Col-0,24,2.279,L10,10,12
12L12D:L11,12L12D,Col-0,24,2.004,L11,11,12
12L12D:L12,12L12D,Col-0,24,1.357,L12,12,12
12L12D:L13,12L12D,Col-0,24,1.087,L13,13,12
12L12D:L14,12L12D,Col-0,24,1.608,L14,14,12
12L12D:L15,12L12D,Col-0,24,1.406,L15,15,12
12L12D:L16,12L12D,Col-0,24,2.201,L16,16,12
12L12D:L17,12L12D,Col-0,24,1.457,L17,17,12
12L12D:L18,12L12D,Col-0,24,1.523,L18,18,12
12L12D:L19,12L12D,Col-0,24,1.662,L19,19,12
12L12D:L20,12L12D,Col-0,24,1.864,L20,20,12
